,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height,Davao height
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146,0.26721799999999973
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146,0.26721799999999973
1,0.045145000000001545,0.12649799999999978,0.16834360000000004,0.08471299999999893,0.1644633000000013,0.10641139999999982,0.15677699999999817,0.17942899999999895,0.6600979999999979,0.4867799999999818,0.20031000000000176,0.3075599999999987,0.24039900000000003,0.6023671999999998,0.34440999999999633,0.43536200000000136,0.10682200000000108,0.25443500000000085
2,-9.9999e+98,0.07263999999999982,0.1412274,0.06921799999999934,0.09966830000000115,0.07466850000000003,0.09751699999999985,0.11365400000000392,0.45892299999999864,0.33312999999998283,0.12874000000000763,0.24968999999999753,0.28116199999999836,0.5195104000000006,0.1824659999999909,0.226344000000001,8.999999998593466e-06,0.17302399999999807
3,0.11937200000000203,0.29149199999999986,0.32453339999999997,0.16139300000000034,0.3279852999999999,0.18070399999999998,0.29835100000000025,0.3118570000000034,1.0579079999999976,0.7043099999999924,0.281099999999995,0.47193499999999844,0.37416199999999833,1.0520894999999992,0.5912549999999896,0.7546440000000025,0.17609399999999908,0.3638169999999974
4,0.0974010000000014,0.23910700000000062,0.27267809999999937,0.13687299999999958,0.2749833000000006,0.15870119999999988,0.2476610000000008,0.26698900000000236,0.9293559999999985,0.6229599999999778,0.2459999999999951,0.4300910000000009,0.325880999999999,0.9512210000000003,0.4986470000000054,0.6662319999999973,0.16140800000000155,0.3200870000000009
5,0.10926800000000014,0.27814099999999975,0.3002212000000002,0.15207900000000052,0.3033273000000012,0.1712817000000002,0.2510879999999993,0.2646610000000038,0.9258449999999989,0.5893199999999865,0.23547999999999547,0.4768429999999988,0.45922900000000055,1.0180266000000007,0.6046300000000002,0.7408819999999992,0.1772240000000025,0.3024369999999976
6,0.085364000000002,0.21314700000000109,0.2429730999999995,0.1217050000000004,0.24510430000000127,0.14460149999999983,0.22252500000000097,0.24260800000000415,0.8218679999999985,0.5537599999999827,0.23372000000000526,0.3734110000000008,0.3101179999999992,0.8953065999999996,0.4568919999999963,0.5860249999999994,0.14992699999999815,0.27998999999999796
7,0.0720450000000028,0.1738230000000005,0.20655100000000015,0.10323799999999927,0.20664930000000048,0.1259619999999999,0.18632699999999858,0.2065899999999985,0.7074409999999993,0.47978999999997995,0.19571999999999434,0.35120999999999825,0.2604900000000008,0.7470748,0.41228400000001386,0.5095990000000015,0.1287590000000023,0.2517569999999978
8,0.11217900000000114,0.26230499999999957,0.2950020999999996,0.14837099999999914,0.29851530000000004,0.16846359999999994,0.27194199999999924,0.26257900000000234,0.9237149999999978,0.6408899999999846,0.2942900000000037,0.46002499999999813,0.4638869999999997,1.0641536,0.6253269999999986,0.733072,0.16873300000000313,0.29770500000000055
