,Balikpapan height,Bontang height,Tandjoengbatoe height,Tarakan height,Tawau height,Semporna height,Bongao Island height,Zamboanga height,Pagadian height,General Santos height,Tahuna height,Manado height,Boroko height,Genluma height,Boeol height,Tolotoli height,Palu height
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146
1,0.10195099999999968,0.25365700000000047,0.28560559999999935,0.14296199999999892,0.2900753000000016,0.16437599999999986,0.2686320000000002,0.28401600000000116,0.9821279999999994,0.6582499999999811,0.2676299999999969,0.44849800000000073,0.3337810000000019,0.9997161999999999,0.532117999999997,0.69041,0.17186500000000393
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146
1,0.10195099999999968,0.25365700000000047,0.28560559999999935,0.14296199999999892,0.2900753000000016,0.16437599999999986,0.2686320000000002,0.28401600000000116,0.9821279999999994,0.6582499999999811,0.2676299999999969,0.44849800000000073,0.3337810000000019,0.9997161999999999,0.532117999999997,0.69041,0.17186500000000393
2,0.12251600000000096,0.29277000000000086,0.3215570999999997,0.16225500000000004,0.32746530000000007,0.18221109999999996,0.30005099999999985,0.29873900000000475,1.0050619999999988,0.6991099999999904,0.3244800000000083,0.5009739999999994,0.5154129999999988,1.1605713,0.6920199999999994,0.7912350000000004,0.1824280000000016
0,0.11313900000000032,0.30791400000000024,0.4313696,0.16536799999999907,0.29014830000000025,0.18481479999999983,0.19217300000000037,0.33359899999999953,1.0845079999999996,0.8445499999999981,0.30304999999999893,0.7395579999999988,0.9709719999999997,1.3573442,0.44428700000000276,0.6276860000000006,0.17072900000000146
1,0.10195099999999968,0.25365700000000047,0.28560559999999935,0.14296199999999892,0.2900753000000016,0.16437599999999986,0.2686320000000002,0.28401600000000116,0.9821279999999994,0.6582499999999811,0.2676299999999969,0.44849800000000073,0.3337810000000019,0.9997161999999999,0.532117999999997,0.69041,0.17186500000000393
2,0.12251600000000096,0.29277000000000086,0.3215570999999997,0.16225500000000004,0.32746530000000007,0.18221109999999996,0.30005099999999985,0.29873900000000475,1.0050619999999988,0.6991099999999904,0.3244800000000083,0.5009739999999994,0.5154129999999988,1.1605713,0.6920199999999994,0.7912350000000004,0.1824280000000016
3,0.12251600000000096,0.29277000000000086,0.3215570999999997,0.16225500000000004,0.32746530000000007,0.18221109999999996,0.30005099999999985,0.29873900000000475,1.0050619999999988,0.6991099999999904,0.3244800000000083,0.5009739999999994,0.5154129999999988,1.1605713,0.6920199999999994,0.7912350000000004,0.1824280000000016
