,latitude,longitude,length,width,slip,strike,dip,depth,rake,depth_offset,rake_offset,dip_offset,strike_offset
0,-6.761551403843738,119.9511340553937,206792.70880080762,80861.56563687028,14.588639728817155,183.24853489364472,25.0,23191.122158480688,80.0,-4.425621077123107,-0.8355596453002578,1.4804808373323015,0.568100802346763
1,-6.761551403843738,119.9511340553937,206792.70880080762,80861.56563687028,14.588639728817155,183.24853489364472,25.0,23191.122158480688,80.0,-4.425621077123107,-0.8355596453002578,1.4804808373323015,0.568100802346763
2,-6.713351273702468,119.86037589566263,198823.69446950915,83685.23207895881,14.006496044429912,181.70952382355748,25.0,25577.769964352734,80.0,-3.998327550514424,-0.2066819182506157,-1.1733984545900118,-3.36349588210519
3,-6.743896271424028,119.86094396914244,190411.40637682247,81435.93703919619,14.173075533494933,182.13273009191246,25.0,26466.096700586924,80.0,-2.888875054571709,-1.41994826150711,1.9376965703118167,-2.1879267141623258
4,-6.743896271424028,119.86094396914244,190411.40637682247,81435.93703919619,14.173075533494933,182.13273009191246,25.0,26466.096700586924,80.0,-2.888875054571709,-1.41994826150711,1.9376965703118167,-2.1879267141623258
5,-6.743896271424028,119.86094396914244,190411.40637682247,81435.93703919619,14.173075533494933,182.13273009191246,25.0,26466.096700586924,80.0,-2.888875054571709,-1.41994826150711,1.9376965703118167,-2.1879267141623258
6,-6.746556211007204,119.84652287058607,197729.69645653988,84172.89721948624,15.40518853555489,182.03028154351512,25.0,27153.575796469497,80.0,-2.786752667783665,0.6600792112258906,-0.5408566058991371,-0.5160647555015978
7,-6.7306064510074926,119.87126742342451,208507.66919565946,86429.9761380298,14.9607662757,182.05293368297703,25.0,25633.900447730888,80.0,-2.5718269571320582,1.539751028646852,1.6334214277373158,0.05469247578705072
8,-6.7306064510074926,119.87126742342451,208507.66919565946,86429.9761380298,14.9607662757,182.05293368297703,25.0,25633.900447730888,80.0,-2.5718269571320582,1.539751028646852,1.6334214277373158,0.05469247578705072
9,-6.7306064510074926,119.87126742342451,208507.66919565946,86429.9761380298,14.9607662757,182.05293368297703,25.0,25633.900447730888,80.0,-2.5718269571320582,1.539751028646852,1.6334214277373158,0.05469247578705072
10,-6.711599442131496,119.9295327380762,203442.45050811087,86724.31033959982,16.441713132225868,182.36215515156468,25.0,22609.562200904584,80.0,-2.265272852990317,6.061098502326959,2.9238522037819803,2.938218213512412
11,-6.711599442131496,119.9295327380762,203442.45050811087,86724.31033959982,16.441713132225868,182.36215515156468,25.0,22609.562200904584,80.0,-2.265272852990317,6.061098502326959,2.9238522037819803,2.938218213512412
12,-6.764022532388661,119.89588971431108,194769.87306966528,89104.63936776812,17.360352727441402,182.7344624607814,25.0,25593.889974552025,80.0,-1.9980969242411004,2.7770164291126878,1.7925101759851338,2.832026496622828
13,-6.764022532388661,119.89588971431108,194769.87306966528,89104.63936776812,17.360352727441402,182.7344624607814,25.0,25593.889974552025,80.0,-1.9980969242411004,2.7770164291126878,1.7925101759851338,2.832026496622828
14,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
15,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
16,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
17,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
18,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
19,-6.684742723186249,119.89749968880473,188349.93786608925,88878.13267218678,15.681126925482173,181.65961281772584,25.0,23157.936717067983,80.0,-2.306508276311616,2.640477443284981,3.2590857010961525,3.74083995343659
20,-6.692752974866036,119.90376736144306,183631.83239728387,88204.44508332334,16.55586426316138,181.83792559525543,25.0,23132.929399057106,80.0,-1.7008116190492495,2.5060887678465265,1.4910427131366997,0.7611362885102011
21,-6.692752974866036,119.90376736144306,183631.83239728387,88204.44508332334,16.55586426316138,181.83792559525543,25.0,23132.929399057106,80.0,-1.7008116190492495,2.5060887678465265,1.4910427131366997,0.7611362885102011
22,-6.688908696257595,119.85132046788364,191644.93826248648,94642.65135529992,17.478629783514485,181.2739529946953,25.0,25229.59351461516,80.0,-1.7101327666800072,0.7838650850697957,0.8102919150193854,-2.43554740828908
23,-6.621866455014093,119.85251483761265,183590.0883608104,93745.51488594974,17.006987407479507,180.2633568626632,25.0,23176.91566637229,80.0,-2.139929240541497,0.8884837007774408,-0.2537392711970069,-5.2244577079865975
24,-6.621866455014093,119.85251483761265,183590.0883608104,93745.51488594974,17.006987407479507,180.2633568626632,25.0,23176.91566637229,80.0,-2.139929240541497,0.8884837007774408,-0.2537392711970069,-5.2244577079865975
25,-6.621866455014093,119.85251483761265,183590.0883608104,93745.51488594974,17.006987407479507,180.2633568626632,25.0,23176.91566637229,80.0,-2.139929240541497,0.8884837007774408,-0.2537392711970069,-5.2244577079865975
