,latitude,longitude,magnitude,delta_logl,delta_logw,depth_offset,p_latitude,p_longitude,p_magnitude,p_delta_logl,p_delta_logw,p_depth_offset,m_latitude,m_longitude,length,width,slip,strike,dip,depth,rake,m_depth_offset,p_m_latitude,p_m_longitude,p_length,p_width,p_slip,p_strike,p_dip,p_depth,p_rake,p_m_depth_offset,prior_logpdf,llh,posterior_logpdf,p_prior_logpdf,p_llh,p_posterior_logpdf,alpha,accepted,acceptance_rate
0,-3.7119199999999997,130.708,8.5706,-0.048177199999999996,-0.165669,2.92582,-3.692889921400497,130.6720076322955,8.598102611784732,-0.04449690924081778,-0.16844407341744494,3.449211946346653,-3.7119199999999997,130.708,342836.76005052123,101765.86019649405,5.769663948081328,115.0212526343524,13.50373908092823,14685.57924313946,90.0,2.92582,-3.692889921400497,130.6720076322955,357406.4782727364,103052.01761294613,6.010007405092974,114.93611522998829,13.434830001206999,14609.866910900892,90.0,3.449211946346653,-16.12777158439943,-39.289054106312406,-55.41682569071184,-16.015015846752405,-42.91731774198605,-58.93233358873846,0.02973269793990905,1.0,1.0
1,-3.692889921400497,130.6720076322955,8.598102611784732,-0.04449690924081778,-0.16844407341744494,3.449211946346653,-3.792465338463536,130.64208980927134,8.585879894656275,-0.049081678818085714,-0.1666968775337082,3.3042842749419683,-3.692889921400497,130.6720076322955,357406.4782727364,103052.01761294613,6.010007405092974,114.93611522998829,13.434830001206999,14609.866910900892,90.0,3.449211946346653,-3.792465338463536,130.64208980927134,348481.9864439554,102599.76224716306,5.9351699958268975,115.20869950741353,16.50151111023366,17639.93111315721,90.0,3.3042842749419683,-16.015015846752405,-42.91731774198605,-58.93233358873846,-14.767823426444625,-43.25795705471828,-58.02578048116291,2.475774082124266,1.0,1.0
2,-3.792465338463536,130.64208980927134,8.585879894656275,-0.049081678818085714,-0.1666968775337082,3.3042842749419683,-3.73378564845233,130.63648549070072,8.602450445771858,-0.0545794404489116,-0.16450905456663167,2.7502528328085267,-3.792465338463536,130.64208980927134,348481.9864439554,102599.76224716306,5.9351699958268975,115.20869950741353,16.50151111023366,17639.93111315721,90.0,3.3042842749419683,-3.73378564845233,130.63648549070072,351039.127392198,104301.96678631906,6.137162930309493,114.98936146487895,14.936579701359207,16056.503442696641,90.0,2.7502528328085267,-14.767823426444625,-43.25795705471828,-58.02578048116291,-15.57875072726819,-41.90822538478685,-57.48697611205503,1.7139563774250701,1.0,1.0
3,-3.73378564845233,130.63648549070072,8.602450445771858,-0.0545794404489116,-0.16450905456663167,2.7502528328085267,-3.7417636805163688,130.59726126637008,8.512844415829834,-0.05216246147111914,-0.1644652576251278,2.2850583112210736,-3.73378564845233,130.63648549070072,351039.127392198,104301.96678631906,6.137162930309493,114.98936146487895,14.936579701359207,16056.503442696641,90.0,2.7502528328085267,-3.7417636805163688,130.59726126637008,316864.14533394645,98067.23824332283,5.306517343359517,114.94997807166331,15.661611881441214,16748.825522311592,90.0,2.2850583112210736,-15.57875072726819,-41.90822538478685,-57.48697611205503,-15.337743435413394,-inf,-inf,0.0,0.0,0.75
4,-3.73378564845233,130.63648549070072,8.602450445771858,-0.0545794404489116,-0.16450905456663167,2.7502528328085267,-3.756552337570145,130.8002605578539,8.583995443494992,-0.057142320426958965,-0.1694396306151017,2.8505210216990564,-3.73378564845233,130.63648549070072,351039.127392198,104301.96678631906,6.137162930309493,114.98936146487895,14.936579701359207,16056.503442696641,90.0,2.7502528328085267,-3.756552337570145,130.8002605578539,341297.7133267137,101821.5553516124,6.066805455873671,115.11108936830178,13.563480844799619,14764.480966164056,90.0,2.8505210216990564,-15.57875072726819,-41.90822538478685,-57.48697611205503,-16.165395882556368,-39.319436311988156,-55.48483219454452,7.404914619292655,1.0,0.8
5,-3.756552337570145,130.8002605578539,8.583995443494992,-0.057142320426958965,-0.1694396306151017,2.8505210216990564,-3.7760038717223945,130.81620978873622,8.612392884942661,-0.05717505702850574,-0.1739045967989036,1.8766324027994656,-3.756552337570145,130.8002605578539,341297.7133267137,101821.5553516124,6.066805455873671,115.11108936830178,13.563480844799619,14764.480966164056,90.0,2.8505210216990564,-3.7760038717223945,130.81620978873622,353153.68242524995,102771.33081608039,6.407573795267441,115.14399690697205,13.870787530000564,15077.186623060918,90.0,1.8766324027994656,-16.165395882556368,-39.319436311988156,-55.48483219454452,-16.463974712039782,-37.005750958393655,-53.469725670433434,7.5015264320781085,1.0,0.8333333333333334
6,-3.7760038717223945,130.81620978873622,8.612392884942661,-0.05717505702850574,-0.1739045967989036,1.8766324027994656,-3.700125175310751,130.81545940592412,8.553499508976236,-0.06054781243430692,-0.17148654035848468,2.593437694413339,-3.7760038717223945,130.81620978873622,353153.68242524995,102771.33081608039,6.407573795267441,115.14399690697205,13.870787530000564,15077.186623060918,90.0,1.8766324027994656,-3.700125175310751,130.81545940592412,326412.2485763118,99235.64021785278,5.858077986897492,115.07695691639023,12.076683132771866,13314.984985628007,90.0,2.593437694413339,-16.463974712039782,-37.005750958393655,-53.469725670433434,-17.02806062366755,-44.73286857989954,-61.7609292035671,0.00025071254024398816,0.0,0.7142857142857143
7,-3.7760038717223945,130.81620978873622,8.612392884942661,-0.05717505702850574,-0.1739045967989036,1.8766324027994656,-3.795091274661732,130.82500470709488,8.632370466480724,-0.05850227639835135,-0.16692711296671195,1.5123460396147188,-3.7760038717223945,130.81620978873622,353153.68242524995,102771.33081608039,6.407573795267441,115.14399690697205,13.870787530000564,15077.186623060918,90.0,1.8766324027994656,-3.795091274661732,130.82500470709488,360655.6157110995,105883.24748101096,6.524928494273884,115.17340104568329,14.240404680215864,15449.665013499463,90.0,1.5123460396147188,-16.463974712039782,-37.005750958393655,-53.469725670433434,-16.416966263011457,-35.754637547981226,-52.171603810992686,3.6624116802347375,1.0,0.75
8,-3.795091274661732,130.82500470709488,8.632370466480724,-0.05850227639835135,-0.16692711296671195,1.5123460396147188,-3.6972835664821435,130.91376263919187,8.634844681812071,-0.05143944253345921,-0.1716825975469162,2.6650998853642536,-3.795091274661732,130.82500470709488,360655.6157110995,105883.24748101096,6.524928494273884,115.17340104568329,14.240404680215864,15449.665013499463,90.0,1.5123460396147188,-3.6972835664821435,130.91376263919187,367663.507721794,104908.84723568613,6.51544960752101,115.17546802593931,11.101066427772498,12353.472729811221,90.0,2.6650998853642536,-16.416966263011457,-35.754637547981226,-52.171603810992686,-17.62106207161025,-41.224631658497216,-58.84569373010747,0.0012632216967933972,0.0,0.6666666666666666
9,-3.795091274661732,130.82500470709488,8.632370466480724,-0.05850227639835135,-0.16692711296671195,1.5123460396147188,-3.83906846765656,130.9664832949425,8.65437737013213,-0.05859946293889237,-0.16771000900505595,1.9366197853651568,-3.795091274661732,130.82500470709488,360655.6157110995,105883.24748101096,6.524928494273884,115.17340104568329,14.240404680215864,15449.665013499463,90.0,1.5123460396147188,-3.83906846765656,130.9664832949425,370265.9961477211,107307.32505877806,6.7664809739990055,115.44246647282327,13.707335463710933,14963.959713048509,90.0,1.9366197853651568,-16.416966263011457,-35.754637547981226,-52.171603810992686,-16.504941346754634,-36.80844329287227,-53.313384639626896,0.3192499857727127,0.0,0.6
10,-3.795091274661732,130.82500470709488,8.632370466480724,-0.05850227639835135,-0.16692711296671195,1.5123460396147188,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.795091274661732,130.82500470709488,360655.6157110995,105883.24748101096,6.524928494273884,115.17340104568329,14.240404680215864,15449.665013499463,90.0,1.5123460396147188,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-16.416966263011457,-35.754637547981226,-52.171603810992686,-17.23161323609286,-35.74583344158099,-52.97744667767385,0.4467112498089516,1.0,0.6363636363636364
11,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.836328675053063,130.75574826831516,8.573294812149522,-0.06411347349978605,-0.17113876741853845,-0.4319366507236062,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.836328675053063,130.75574826831516,331559.56534428475,100678.95409511404,6.086701025596643,115.32997233516899,16.191410333852943,17429.71327902057,90.0,-0.4319366507236062,-17.23161323609286,-35.74583344158099,-52.97744667767385,-16.331048494485437,-38.4643796551816,-54.795428149667046,0.16235313475551322,0.0,0.5833333333333334
12,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.749199499511392,130.8292148398043,8.556372591642068,-0.0689037688368354,-0.17869654936857374,1.0080548056904322,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.749199499511392,130.8292148398043,321302.60730864544,97795.16067752175,6.099121455052573,115.10276994445492,13.068444551511446,14278.831495073508,90.0,1.0080548056904322,-17.23161323609286,-35.74583344158099,-52.97744667767385,-17.332776528421054,-42.94478626757368,-60.27756279599473,0.0006754603373197051,0.0,0.5384615384615384
13,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.7037972080418013,130.79715883397517,8.627738520155427,-0.04630705974376857,-0.18232780828288875,-0.3230144196202308,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.7037972080418013,130.79715883397517,368861.7098031185,101868.65312873953,6.525948613708887,115.06829845639515,12.343932083129154,13574.612209838606,90.0,-0.3230144196202308,-17.23161323609286,-35.74583344158099,-52.97744667767385,-18.651898516236308,-39.37250004654696,-58.02439856278328,0.006428899635820303,0.0,0.5
14,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.846153346069911,130.81624871547572,8.681169889658808,-0.05723362061625596,-0.1713892638792034,-0.032735246130937035,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.846153346069911,130.81624871547572,383621.3419754393,108384.48077755768,7.092918692646493,115.31687507901623,15.665333188185572,16923.729231048397,90.0,-0.032735246130937035,-17.23161323609286,-35.74583344158099,-52.97744667767385,-16.480617931503886,-39.46681465571733,-55.94743258722122,0.051304033223876125,0.0,0.4666666666666667
15,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.718732657246397,130.77998163591408,8.695620832892075,-0.052049057674335236,-0.17145297386994068,0.9538096267179276,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.718732657246397,130.77998163591408,395048.9246285026,109452.95033787042,7.169566568600027,115.07213955916008,12.880672620083516,14093.95536097404,90.0,0.9538096267179276,-17.23161323609286,-35.74583344158099,-52.97744667767385,-17.54006225918744,-49.27929337368546,-66.8193556328729,9.739469945164408e-07,0.0,0.4375
16,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.7203952975179218,130.9341112902133,8.636417462267621,-0.0609801485575979,-0.17323456741934148,0.7939624378478279,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.7203952975179218,130.9341112902133,360357.03650230775,104647.95840360149,6.700426310969252,115.20095112655204,11.402946702773134,12642.459414124387,90.0,0.7939624378478279,-17.23161323609286,-35.74583344158099,-52.97744667767385,-18.515586647893727,-41.130079322928076,-59.64566597082181,0.0012706594095419801,0.0,0.4117647058823529
17,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.8784379413755583,130.80340432167756,8.653494781121449,-0.0681502804015255,-0.16884056173957238,-0.22615712006140345,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.8784379413755583,130.80340432167756,361827.0815084536,106963.282882831,6.92542431612892,115.45489375825274,16.702378188508735,18042.177483665782,90.0,-0.22615712006140345,-17.23161323609286,-35.74583344158099,-52.97744667767385,-15.990718709732384,-40.32345512983765,-56.31417383957004,0.0355531271452759,0.0,0.3888888888888889
18,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.6997535969468434,130.78134118895227,8.600345475294192,-0.07039493802878619,-0.16375886066024642,0.6224358218620738,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.6997535969468434,130.78134118895227,337627.87579118845,104330.87081299257,6.3329650742808274,115.05616274364569,12.412408907498412,13639.356681319572,90.0,0.6224358218620738,-17.23161323609286,-35.74583344158099,-52.97744667767385,-17.904965100078996,-39.95576686079487,-57.86073196087386,0.007572096637774816,0.0,0.3684210526315789
19,-3.7983066806239583,130.8481806089356,8.637294992101577,-0.05959253164489532,-0.17163013038558864,0.2018602652527693,-3.785729264588002,130.76078612126824,8.621905591638598,-0.06899505983145637,-0.1664262526118649,0.8029055721665748,-3.7983066806239583,130.8481806089356,361892.7801592503,105098.80445901003,6.663536824910346,115.17325617489712,14.046918132584029,15262.489617419858,90.0,0.2018602652527693,-3.785729264588002,130.76078612126824,347634.3201552563,105243.85866234436,6.568693349322296,115.17738190770928,14.77230813797316,15959.883729272018,90.0,0.8029055721665748,-17.23161323609286,-35.74583344158099,-52.97744667767385,-16.494446142118594,-35.682096842522895,-52.17654298464149,2.227553043352934,1.0,0.4
20,-3.785729264588002,130.76078612126824,8.621905591638598,-0.06899505983145637,-0.1664262526118649,0.8029055721665748,-3.7900198069805104,130.73892583533512,8.549110365841239,-0.06495813895532955,-0.16603996932290632,0.8527261306232254,-3.785729264588002,130.76078612126824,347634.3201552563,105243.85866234436,6.568693349322296,115.17738190770928,14.77230813797316,15959.883729272018,90.0,0.8029055721665748,-3.7900198069805104,130.73892583533512,321409.6133167555,100184.5856346652,5.804245707227657,115.19507224910757,15.156193807789126,16335.726163236946,90.0,0.8527261306232254,-16.494446142118594,-35.682096842522895,-52.17654298464149,-16.1917202903733,-39.61358248787678,-55.80530277825007,0.026549090351135767,0.0,0.3809523809523809
21,-3.785729264588002,130.76078612126824,8.621905591638598,-0.06899505983145637,-0.1664262526118649,0.8029055721665748,-3.6904764087873385,130.7041610505197,8.608914598886008,-0.06327629126538889,-0.1654969440216369,1.1195113870691191,-3.785729264588002,130.76078612126824,347634.3201552563,105243.85866234436,6.568693349322296,115.17738190770928,14.77230813797316,15959.883729272018,90.0,0.8029055721665748,-3.6904764087873385,130.7041610505197,346770.37260530965,104529.4929094084,6.339150729200656,114.98362401356351,13.015450779786413,14215.014134420515,90.0,1.1195113870691191,-16.494446142118594,-35.682096842522895,-52.17654298464149,-17.274761776826253,-37.25604236645454,-54.53080414328079,0.09496364368903644,0.0,0.3636363636363637
22,-3.785729264588002,130.76078612126824,8.621905591638598,-0.06899505983145637,-0.1664262526118649,0.8029055721665748,-3.8360114073291767,130.82213965988086,8.591571501082122,-0.072278081919692,-0.15696188565894126,0.8303769353713657,-3.785729264588002,130.76078612126824,347634.3201552563,105243.85866234436,6.568693349322296,115.17738190770928,14.77230813797316,15959.883729272018,90.0,0.8029055721665748,-3.8360114073291767,130.82213965988086,332631.1310914785,105337.84183720537,6.176606745832152,115.28525251485412,15.327840622188413,16575.739863904357,90.0,0.8303769353713657,-16.494446142118594,-35.682096842522895,-52.17654298464149,-16.087485261620067,-38.974607974651335,-55.0620932362714,0.05582406380172168,0.0,0.3478260869565217
