,Pulu Ai arrival,Ambon arrival,Banda Neira arrival,Buru arrival,Hulaliu arrival,Saparua arrival,Kulur arrival,Ameth arrival,Amahai arrival,Pillipuang arrival,Tepa arrival,Gereja arrival,Ohoirin arrival,Ohirenan arrival,Tiakur arrival,Wedangkau arrival
0,20.872419999999998,44.475680000000004,22.525669999999998,59.36029333333333,44.94958333333333,42.08460166666667,54.17447666666667,35.42825333333334,42.86009,37.14078833333333,82.94172333333333,0.16542185666666667,37.20002833333333,21.80406,55.57998833333333,18.85832
1,20.872419999999998,44.475680000000004,22.525669999999998,59.36029333333333,44.94958333333333,42.08460166666667,54.17447666666667,35.42825333333334,42.86009,37.14078833333333,82.94172333333333,0.16542185666666667,37.20002833333333,21.80406,55.57998833333333,18.85832
2,20.872419999999998,44.475680000000004,22.525669999999998,59.36029333333333,44.94958333333333,42.08460166666667,54.17447666666667,35.42825333333334,42.86009,37.14078833333333,82.94172333333333,0.16542185666666667,37.20002833333333,21.80406,55.57998833333333,18.85832
3,24.901735,48.997899999999994,29.522683333333337,65.67796666666666,51.14684166666667,47.22057333333333,61.116123333333334,51.58309333333333,87.56049333333334,51.98703166666667,23.663043333333334,0.16542185666666667,39.745021666666666,9.9671955,74.18215166666667,15.643749666666668
4,21.761048333333335,44.861045,25.708743333333334,58.853805,46.25601833333334,42.42115666666667,55.686906666666665,43.907718333333335,47.155478333333335,41.618624999999994,25.854155,0.16542185666666667,45.135731666666665,30.022626666666667,76.35751166666667,19.445175
5,21.49777,88.93693333333334,25.219328333333333,56.491123333333334,58.97403166666666,41.71133833333333,52.33309,36.325230000000005,43.725805,39.341429999999995,34.63939166666667,0.16542185666666667,50.776465,33.19592333333333,87.33184,20.135203333333333
6,21.49777,88.93693333333334,25.219328333333333,56.491123333333334,58.97403166666666,41.71133833333333,52.33309,36.325230000000005,43.725805,39.341429999999995,34.63939166666667,0.16542185666666667,50.776465,33.19592333333333,87.33184,20.135203333333333
7,21.49777,88.93693333333334,25.219328333333333,56.491123333333334,58.97403166666666,41.71133833333333,52.33309,36.325230000000005,43.725805,39.341429999999995,34.63939166666667,0.16542185666666667,50.776465,33.19592333333333,87.33184,20.135203333333333
8,23.591166666666666,47.481676666666665,27.71637666666667,63.93479833333333,49.46356333333333,45.45668,59.082346666666666,38.89154833333334,84.99764833333333,41.352815,22.772613333333332,0.16542185666666667,66.55222,11.188675333333332,74.64122333333333,16.92409
9,23.61442,43.74861333333333,24.923251666666665,57.69386833333333,45.321475,42.18112166666666,54.36519333333333,39.35854500000001,45.26222333333333,40.24733166666667,23.40436,0.16542185666666667,43.08068166666667,26.409811666666666,73.53981999999999,20.102645
10,18.681975,57.939193333333336,22.10211,52.294215,59.953700000000005,55.70923333333334,49.40152333333333,33.85544,40.02304166666667,35.17514166666667,8.9224635,0.16542185666666667,50.30651666666667,34.00626333333334,87.84036666666665,11.076839
11,18.681975,57.939193333333336,22.10211,52.294215,59.953700000000005,55.70923333333334,49.40152333333333,33.85544,40.02304166666667,35.17514166666667,8.9224635,0.16542185666666667,50.30651666666667,34.00626333333334,87.84036666666665,11.076839
12,18.681975,57.939193333333336,22.10211,52.294215,59.953700000000005,55.70923333333334,49.40152333333333,33.85544,40.02304166666667,35.17514166666667,8.9224635,0.16542185666666667,50.30651666666667,34.00626333333334,87.84036666666665,11.076839
13,22.581885,46.09359333333334,26.04441166666667,62.20079666666666,61.139925,43.777923333333334,57.28952,37.455535000000005,45.17809666666667,39.830481666666664,23.104221666666668,0.16542185666666667,19.399435,16.270728833333333,75.43199166666666,18.08551
14,20.917598333333334,43.40853833333333,23.713406666666668,57.48471666666667,44.38901333333333,40.80108666666667,53.47156,35.882535,43.009881666666665,37.940446666666666,14.550582833333333,0.16542185666666667,43.73716,29.795185,41.625345,6.837808999999999
15,16.091979833333333,56.381585,17.955658333333336,49.08747166666667,57.96534,54.14600166666666,46.092099999999995,30.043643333333332,36.66438,32.06921333333334,9.935048833333333,0.16542185666666667,50.84371833333333,35.54387166666667,89.15711,12.321295999999998
16,16.091979833333333,56.381585,17.955658333333336,49.08747166666667,57.96534,54.14600166666666,46.092099999999995,30.043643333333332,36.66438,32.06921333333334,9.935048833333333,0.16542185666666667,50.84371833333333,35.54387166666667,89.15711,12.321295999999998
17,25.79517333333333,50.349273333333336,30.001453333333334,67.35806166666667,51.991978333333336,48.11951333333333,62.08531833333333,52.91297333333333,56.365390000000005,52.24511666666667,42.03347333333333,0.16542185666666667,48.04949833333333,3.2784838333333335,67.69737,14.474752333333333
18,22.461623333333332,45.487545,24.38929166666667,60.624723333333336,46.440691666666666,42.24033,55.686755,36.05814833333333,44.448229999999995,38.664541666666665,24.373138333333333,0.16542185666666667,45.735255,29.300055,76.85468,18.385341666666665
19,18.484333333333332,42.69131,20.633945,56.235771666666665,55.60545833333333,39.15146166666667,51.128456666666665,34.39408,40.49843166666667,35.54166,35.250725,0.16542185666666667,44.46389666666666,31.226116666666666,86.61074666666667,7.963892
20,15.821409166666665,55.080275,15.751386,47.059126666666664,56.57781,51.401041666666664,43.13733666666667,27.493593333333333,33.726263333333335,29.459808333333335,11.102919333333334,0.16542185666666667,52.09056666666667,37.02306,67.31931666666667,13.214328
21,15.821409166666665,55.080275,15.751386,47.059126666666664,56.57781,51.401041666666664,43.13733666666667,27.493593333333333,33.726263333333335,29.459808333333335,11.102919333333334,0.16542185666666667,52.09056666666667,37.02306,67.31931666666667,13.214328
