,Pulu Ai arrival,Ambon arrival,Banda Neira arrival,Buru arrival,Hulaliu arrival,Saparua arrival,Kulur arrival,Ameth arrival,Amahai arrival,Pillipuang arrival,Tepa arrival,Ohoirin arrival,Ohirenan arrival,Tiakur arrival,Wedangkau arrival
0,20.872419999999998,44.475680000000004,22.525669999999998,59.36029333333333,44.94958333333333,42.08460166666667,54.17447666666667,35.42825333333334,42.86009,37.14078833333333,82.93633833333334,37.20002833333333,21.80406,55.57998833333333,18.86909166666667
1,29.847586666666665,49.93729166666667,30.00378,64.88880833333333,82.12932500000001,63.806223333333335,61.366366666666664,44.944485,52.51179333333334,47.782898333333335,0.16542185666666667,58.75954333333333,33.35386166666667,78.97313666666668,17.696815
2,14.540642,67.52805500000001,16.888935,60.267735,49.662711666666674,52.82429,54.267736666666664,29.222863333333333,35.71837166666667,30.54243166666667,72.68783833333333,83.10435166666666,72.76862833333333,76.07562833333333,30.003831666666667
3,18.725551666666668,45.88173333333334,21.49395333333333,62.28208333333334,48.83864333333334,41.335955,54.26233833333333,34.03254666666667,66.7363,35.599871666666665,62.303626666666666,83.87453166666666,41.30363833333333,89.99381666666666,21.865586666666665
4,5.906892166666666,76.23182333333332,6.068472,67.51189833333333,84.45085,66.197715,64.85121666666666,86.31440500000001,54.76324833333333,49.53883333333333,32.86918,73.85659833333334,49.145655000000005,72.83326000000001,23.185163333333332
5,19.800220000000003,38.41422333333333,22.574661666666668,84.03124666666666,37.91317166666667,30.12799,31.23785333333333,19.633218333333332,18.792835,15.716894833333333,31.049285,52.35743166666667,48.941696666666665,52.03955833333334,11.6767075
6,30.003831666666667,51.81172166666667,12.036154166666668,60.230030000000006,77.23361333333334,87.00380666666666,65.44905833333333,49.96971166666666,57.69322666666667,53.40059,70.07562666666666,89.99382333333332,76.68962833333333,41.43291166666667,30.003831666666667
7,5.7883995,64.85107333333333,19.323383333333332,78.61223166666667,77.34114,57.18684833333334,79.41474333333333,62.637445,67.71640333333333,73.43630499999999,33.537005,32.788351666666664,9.693243666666666,68.809755,18.224641666666667
8,20.68605,43.66808666666667,24.42393,57.49393333333333,48.343129999999995,53.58370166666667,53.686035,35.00740833333334,72.76322499999999,35.52985,26.314413333333334,54.11153,31.60346,78.15999166666667,19.996643333333335
9,20.68605,43.66808666666667,24.42393,57.49393333333333,48.343129999999995,53.58370166666667,53.686035,35.00740833333334,72.76322499999999,35.52985,26.314413333333334,54.11153,31.60346,78.15999166666667,19.996643333333335
10,20.486715,45.71466833333333,23.529796666666666,61.280165000000004,49.26403333333334,42.30534,54.601545,34.985785,69.08984333333333,37.18326666666667,33.67699,51.75235833333333,29.809853333333333,84.73613,25.280241666666665
11,18.870965,15.553198,20.77221666666667,73.63562,52.80263166666667,64.86184666666666,39.159945,20.14205666666667,28.786553333333334,25.958915,72.96237166666667,87.06827,88.134695,64.87261833333334,26.793741666666666
12,5.874576166666667,84.27310833333333,0.16542185666666667,75.60165833333333,87.93558333333334,79.23181833333334,74.24977333333332,58.59807333333333,68.61063666666668,63.46162666666667,22.145666666666667,86.97687666666667,62.98766,74.92302333333333,30.003833333333333
13,5.939208166666666,76.07024333333334,5.836874333333333,67.71118,85.31799666666667,66.26234666666667,64.63577666666667,45.69862,53.874559999999995,48.779408333333336,21.504733333333334,72.19771333333333,47.35750666666667,73.40417666666667,21.375468333333334
14,30.003833333333333,82.24797833333334,30.003833333333333,75.30543166666666,61.71118166666667,67.56575833333333,67.41495,45.865585,51.725548333333336,46.11872833333334,79.61422833333333,88.22643333333333,75.97329500000001,84.56395666666667,11.449080666666667
15,30.003833333333333,82.24797833333334,30.003833333333333,75.30543166666666,61.71118166666667,67.56575833333333,67.41495,45.865585,51.725548333333336,46.11872833333334,79.61422833333333,88.22643333333333,75.97329500000001,84.56395666666667,11.449080666666667
16,5.869189666666667,80.63752833333334,0.16542185666666667,71.77757333333334,88.51723166666667,70.05405666666667,70.016355,74.64830833333333,65.98763,65.13664333333334,24.93561833333333,81.14919666666667,61.05406166666667,76.02712166666667,21.989478333333334
17,19.544230000000002,55.054093333333334,22.37187833333333,48.13309,89.99382666666666,79.054085,89.99382666666666,60.62321166666666,76.98586333333333,72.66629666666667,89.99382666666666,80.43828666666667,89.99382666666666,76.73810833333333,25.221068333333335
18,19.544230000000002,55.054093333333334,22.37187833333333,48.13309,89.99382666666666,79.054085,89.99382666666666,60.62321166666666,76.98586333333333,72.66629666666667,89.99382666666666,80.43828666666667,89.99382666666666,76.73810833333333,25.221068333333335
19,19.490368333333333,20.169003333333333,20.389828333333334,75.03611333333333,58.11332,66.52624333333333,43.210278333333335,26.540631666666666,31.39341,28.420343333333335,27.467023333333334,84.17614499999999,88.52264333333332,56.09357333333333,30.003825
20,28.177979999999998,18.75249,21.00922166666667,74.43290166666667,57.76324833333333,66.47240166666667,86.57832,66.91944,73.67886333333333,72.37545166666668,28.36649,89.99382666666666,89.68065333333334,59.07743166666667,30.003831666666667
