Pulu Ai,Banda Neira,Buru,Hulaliu,Saparua,Kulur,Ameth,Amahai,Pillipuang,Tepa,Ohoirin,Ohirenan,Tiakur,Wedangkau
17.71653481710168,18.099359441032828,58.104031525521215,39.6211922913986,35.96600524951046,42.13339174190393,31.661637816127257,30.30550248215386,27.412783825574213,25.086980913657523,51.77168598947637,27.253244640978053,43.33853952965492,6.134779145075725
29.065224417475672,32.57058331794927,64.21775009584903,53.48701399475279,50.21921265576922,57.18755767687219,45.755830243879025,46.07958162654889,43.159690021363936,3.6000695081458334,75.15116112967863,50.420637742307605,34.30451138527749,19.671060901132062
14.636340984993462,13.229698661648762,51.48816265517428,31.789929746472136,27.60888179601527,32.27911751571196,21.712742538413924,21.421976599904553,18.458847904108993,42.89629424078687,83.80692008714699,56.763592143986806,61.701380172651405,30.465032659612845
16.972567846415995,15.65050604034685,57.69956868557004,37.04262391225234,33.36608491406342,39.553222737190126,29.008337693759184,27.81151792227307,24.877271657337992,34.360900910754665,67.41577279657943,41.72693383971191,52.876996159621534,18.748272330181326
29.955624410549607,33.503964976246024,67.7125960168768,51.60798105148352,48.232557394708216,58.635876929682354,47.284588984682436,46.627346592217414,43.718115590500574,12.50346040932917,74.36275118349097,48.790761655009085,36.206862846253216,20.71011411745932
6.940158338849357,10.089947593790212,40.68657421576482,20.105261827110102,16.507179721870962,23.383112096951727,12.526927404506099,11.438928681073465,8.529529523083825,26.395610645374195,63.839837585201344,40.53840528679257,44.936474114563325,11.978229897812396
41.43947558769373,45.677343904759816,58.11927753139758,52.08187964354214,50.829479141053426,60.76451351937897,55.48053935037531,57.95582995550923,55.10085156214041,26.11378313204836,95.7922593196947,70.46954175343748,12.842044362471398,43.807069515758236
48.91870740462267,49.325639930070366,83.72525330434168,67.90735994697543,64.32423633618878,70.49582324965512,59.98134208759419,62.1678943388022,59.23735700011812,-1.0,79.6645808217354,46.930747413326074,-1.0,45.42682309402015
21.244490112053874,21.72999268876519,61.279949336348594,43.32294328550413,39.72617826039793,45.9537799714575,35.289439039784064,33.86222224855342,30.923741007526687,24.064890894959987,58.17407238955021,33.20253464753615,42.52172667359323,9.49044507694603
53.11614993355421,52.6892054642512,80.47352083720739,73.70055895503386,70.01970297230098,76.76359270771897,65.52688062169246,64.65797828358386,62.08760914818265,76.96060433424334,112.16712335304975,70.23995092717702,94.93415394945767,62.34301772011081
17.58188217316665,17.91355624464381,57.49962611712302,39.61511254042454,35.85564233445668,42.072523914911976,31.49842561584013,30.197923898369435,27.245159792248646,28.288220553485658,59.90395260150112,33.79534183572636,46.80167839848493,11.295269354944617
23.80099127335187,28.351202621423933,31.641979804758723,26.675418454728064,25.42955418011597,35.33489905632641,27.879572435823874,30.394358639077893,27.5635724859264,33.45988518066814,90.1466447194259,65.08378413430506,30.246570964310106,41.37990673879205
38.45959542958381,42.802116314179784,76.16883460358572,61.53772165348996,57.616741956291555,68.4067656005932,56.35937038243705,55.27537193796784,52.34955783342966,22.734848566286505,84.59398669617745,58.68968358666602,34.29642629362685,30.692822082728288
31.434018150107345,35.31303719933012,67.14932787769014,52.92202715320661,49.65959072354748,60.263764868567144,48.724473417551536,48.119411226737064,45.220618251648425,16.527481573815045,75.13681703232669,49.35336052053121,39.165919432410206,21.191047506309754
38.50206047193747,37.55348108506959,77.73799521761225,57.02468094688191,53.465811075475266,59.36249185367331,48.94712823158371,48.06228917948071,44.56097016015154,61.385176666214946,100.58018684584509,64.51098980063394,80.93339387731498,49.21120930471372
56.38194432732011,50.71884964984642,55.88746082438912,71.61934152700285,71.04161756077613,80.12197375905967,72.79098529956296,71.5900001317209,68.84831855715825,69.17039559123286,95.42936786243982,55.964749928556074,95.608259130134,50.31414719844438
32.557029784758804,36.075363125776406,70.42602491109164,54.532488184747095,51.13671078749813,61.780525673658964,50.19547964128253,49.49582962539703,46.5764392246139,18.130403599724563,90.76801601490378,100.05756907566978,40.83396106779917,33.08188978746992
80.75866039480806,79.73380431544906,51.59650970568834,69.46349013911757,68.47530294936792,77.91827748378964,76.91669824088676,74.6101429924597,75.93893826561175,106.15946361047246,129.98988380479622,88.77846901251665,100.78048838926331,-1.0
39.48167038202108,42.56841401554948,42.1337508400788,38.52379664977458,37.4746225188786,47.20707853724309,40.16503962459349,42.47676430989398,39.63537615002911,44.72090012923085,105.11747014855978,79.04135862146121,39.138624422869064,55.54878105957532
28.27292805918743,32.765635605221725,46.84834637611088,35.62961766467551,34.59908683437636,44.32592197695069,37.70954251220907,40.05582886059148,37.24319426838598,26.69113816169007,89.37673676141353,63.95874590189597,20.685090563327964,37.165056018127395
31.248012378740967,35.76100651549712,46.245604521895324,38.77556492592646,37.65021143515846,47.423587962902644,40.859288382863774,43.14163863046496,40.337144491192426,31.452114474657026,94.45016095930828,69.09725200839686,24.950801251809384,43.2675369172149
