,Pulu Ai arrival,Ambon arrival,Banda Neira arrival,Buru arrival,Hulaliu arrival,Saparua arrival,Kulur arrival,Ameth arrival,Amahai arrival
0,20.838034999999998,44.468428333333335,22.503856666666664,59.345848333333336,57.99600833333333,42.070161666666664,54.391618333333334,35.45688500000001,42.90309666666667
1,20.838034999999998,44.468428333333335,22.503856666666664,59.345848333333336,57.99600833333333,42.070161666666664,54.391618333333334,35.45688500000001,42.90309666666667
2,20.838034999999998,44.468428333333335,22.503856666666664,59.345848333333336,57.99600833333333,42.070161666666664,54.391618333333334,35.45688500000001,42.90309666666667
3,25.188941666666665,48.99434333333333,29.633975000000003,65.66183333333333,51.13431166666667,47.24932333333334,61.080259999999996,51.65135166666666,87.50663333333334
4,21.877736666666667,44.74977,25.733885,58.724563333333336,46.17168,42.37988666666667,55.66538166666667,36.570101666666666,46.451753333333336
5,21.605556666666665,88.938755,25.253516666666666,56.27038166666667,59.236235,41.648498333333336,52.25592166666667,36.38450666666667,43.65218333333333
6,21.605556666666665,88.938755,25.253516666666666,56.27038166666667,59.236235,41.648498333333336,52.25592166666667,36.38450666666667,43.65218333333333
7,21.605556666666665,88.938755,25.253516666666666,56.27038166666667,59.236235,41.648498333333336,52.25592166666667,36.38450666666667,43.65218333333333
8,23.779681666666665,47.469166666666666,27.779226666666666,63.90613833333334,49.451058333333336,45.458528333333334,59.10935666666667,38.95978,85.22567666666667
9,21.641273333333334,43.65338333333333,24.916035,57.52865166666666,45.219073333333334,42.152325000000005,54.36872166666667,39.193308333333334,45.06825166666667
10,18.870573333333333,86.26046166666667,22.138113333333333,52.77733,58.77426,54.90323,49.78946333333333,33.973978333333335,40.20084
11,18.870573333333333,86.26046166666667,22.138113333333333,52.77733,58.77426,54.90323,49.78946333333333,33.973978333333335,40.20084
12,18.870573333333333,86.26046166666667,22.138113333333333,52.77733,58.77426,54.90323,49.78946333333333,33.973978333333335,40.20084
13,22.714765,46.08647833333334,26.046241666666667,62.17749,47.860005,43.76721333333333,57.31648499999999,37.484294999999996,45.28946
14,20.852956666666667,43.27731000000001,23.646953333333332,57.43438333333334,57.38410666666667,40.906915000000005,53.34039,35.75676333333333,42.889426666666665
15,16.06329583333333,56.26497,17.952148333333334,49.182678333333335,57.66557833333333,54.15326666666667,46.31659333333334,29.853315000000002,36.770295000000004
16,16.06329583333333,56.26497,17.952148333333334,49.182678333333335,57.66557833333333,54.15326666666667,46.31659333333334,29.853315000000002,36.770295000000004
17,26.150578333333332,50.401335,29.999601666666667,67.24850833333333,52.07456333333334,48.08896666666667,61.98475666666666,52.86450166666667,56.24689166666667
18,22.411156666666667,45.487451666666665,24.371173333333335,60.59408333333333,59.56737666666667,42.24203,55.72615666666666,36.09575333333333,44.55404333333333
19,18.448555,42.585275,20.5963,56.234015,55.80302666666667,39.180145,50.96142333333333,34.467665000000004,40.343915
20,15.853736,54.882815,15.645458166666666,47.068104999999996,56.47732166666666,51.463925,43.21094166666667,27.466708333333333,33.79445833333333
21,15.853736,54.882815,15.645458166666666,47.068104999999996,56.47732166666666,51.463925,43.21094166666667,27.466708333333333,33.79445833333333
22,24.577043333333332,49.09294166666667,28.311021666666665,65.93258833333333,50.644061666666666,46.55800833333333,60.41761833333333,51.38371666666667,78.82970333333333
23,20.960449999999998,44.45480333333333,22.683745,59.27501333333333,58.075936666666664,42.15702833333333,54.46431333333333,35.543638333333334,43.18385166666667
24,14.564005166666668,40.82106,16.984475,54.65766166666666,55.347303333333336,35.95016666666667,48.939145,33.24173166666667,37.17865666666667
25,0.16362652500000002,79.63096166666666,0.16362652500000002,78.46021999999999,55.62004,50.81505666666667,41.549706666666665,25.325111666666665,62.486421666666665
26,0.16362652500000002,79.63096166666666,0.16362652500000002,78.46021999999999,55.62004,50.81505666666667,41.549706666666665,25.325111666666665,62.486421666666665
27,23.1544,48.35899,27.046201666666665,65.19096499999999,49.701816666666666,45.544068333333335,59.41043333333334,38.973481666666665,46.17599
28,19.790906666666668,43.531925,21.16972333333333,58.13089,43.96998,40.932293333333334,53.15459166666667,34.713280000000005,71.18574333333332
29,11.705366666666666,85.11340333333332,26.287663333333334,52.841406666666664,55.24809833333334,52.05831666666666,45.13974333333333,29.707536666666666,33.486675
30,0.16362652500000002,78.94725833333334,20.41981666666667,76.84999833333333,53.61499166666667,50.36141166666666,40.19126833333333,24.355098333333334,61.95377333333333
31,0.16362652500000002,78.94725833333334,20.41981666666667,76.84999833333333,53.61499166666667,50.36141166666666,40.19126833333333,24.355098333333334,61.95377333333333
32,22.450225,48.020603333333334,26.198348333333335,64.83789333333333,49.24133166666666,44.96159,58.92820166666667,38.39832166666667,76.31274166666667
33,19.188511666666667,42.81610833333333,20.452503333333333,57.30109166666667,43.54864166666667,39.914675,51.93669,33.96822833333333,70.442955
34,20.382228333333334,83.10226666666668,23.701178333333335,51.641798333333334,54.98249,51.56277,43.710188333333335,28.098133333333333,29.721886666666666
35,0.16362652500000002,78.681785,0.16362652500000002,76.19666333333333,82.26581166666666,49.92330666666667,32.154423333333334,12.7214185,60.323535
36,0.16362652500000002,78.681785,0.16362652500000002,76.19666333333333,82.26581166666666,49.92330666666667,32.154423333333334,12.7214185,60.323535
37,22.10569333333333,47.94894333333333,25.616876666666666,64.723175,62.01607166666667,44.73915833333333,58.899638333333336,38.190295,75.58772
38,15.303506166666667,65.15066333333333,19.325121666666668,56.705355000000004,42.952803333333335,39.42657166666667,51.240363333333335,32.92714333333333,68.19557
39,20.116553333333332,82.52712833333334,23.241519999999998,51.397439999999996,53.955015,51.742285,42.948634999999996,24.24014833333333,25.950036666666666
40,0.16362652500000002,78.051925,22.668031666666664,77.38394166666667,82.21064833333334,49.14896833333333,30.165856666666667,12.111185333333333,17.906709999999997
41,0.16362652500000002,78.051925,22.668031666666664,77.38394166666667,82.21064833333334,49.14896833333333,30.165856666666667,12.111185333333333,17.906709999999997
42,22.214151666666666,48.15124333333333,25.05763166666667,64.77499166666666,49.35762166666667,44.91269833333333,59.38218333333334,38.399636666666666,75.02940333333332
43,15.33909,65.30512666666667,13.716440166666667,56.55876666666666,42.620374999999996,38.720980000000004,51.43879666666667,31.345875,68.01956833333334
44,19.92242333333333,82.237265,23.097673333333333,83.64534833333333,39.77241,51.17353833333333,36.489246666666666,22.652260000000002,23.859195
45,0.7165885666666667,19.832648333333335,23.229744999999998,35.92868,81.75628499999999,13.885798999999999,27.98453,11.515742166666666,16.880846666666667
