,latitude,longitude,length,width,slip,strike,dip,depth,rake,depth_offset
0,-5.91496,131.552,282360.9744261146,148606.65327050528,21.139615461018487,204.91870567792006,22.341090079121425,28000.011876490506,90,-0.151122
1,-7.0,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
2,-7.0,132.25,282360.9744261146,148606.65327050528,21.139615461018487,222.640136719,3.36941480637,4078.9504051199997,90,-0.151122
3,-7.0,131.5,282360.9744261146,148606.65327050528,21.139615461018487,216.151245117,9.53410816193,10201.2882233,90,-0.151122
4,-7.0,130.75,282360.9744261146,148606.65327050528,21.139615461018487,220.235198975,27.382900238,30150.9571075,90,-0.151122
5,-7.0,130.0,282360.9744261146,148606.65327050528,21.139615461018487,229.636703491,43.1845245361,69859.2987061,90,-0.151122
6,-6.75,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
7,-6.75,132.25,282360.9744261146,148606.65327050528,21.139615461018487,221.734649658,4.29251289368,5328.73630524,90,-0.151122
8,-6.75,131.5,282360.9744261146,148606.65327050528,21.139615461018487,215.778518677,12.741484642,13396.9154358,90,-0.151122
9,-6.75,130.75,282360.9744261146,148606.65327050528,21.139615461018487,217.167160034,32.9245834351,40297.5273132,90,-0.151122
10,-6.75,130.0,282360.9744261146,148606.65327050528,21.139615461018487,223.870803833,45.2247543335,89671.9512939,90,-0.151122
11,-6.5,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
12,-6.5,132.25,282360.9744261146,148606.65327050528,21.139615461018487,218.487564087,5.37104892731,6843.60933304,90,-0.151122
13,-6.5,131.5,282360.9744261146,148606.65327050528,21.139615461018487,214.698440552,16.6102962494,17595.3426361,90,-0.151122
14,-6.5,130.75,282360.9744261146,148606.65327050528,21.139615461018487,213.819534302,36.7037773132,51608.814239499996,90,-0.151122
15,-6.5,130.0,282360.9744261146,148606.65327050528,21.139615461018487,217.993179321,45.3311500549,108169.48700000001,90,-0.151122
16,-6.25,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
17,-6.25,132.25,282360.9744261146,148606.65327050528,21.139615461018487,212.431365967,6.61088323593,8538.558006289999,90,-0.151122
18,-6.25,131.5,282360.9744261146,148606.65327050528,21.139615461018487,212.101211548,20.4030246735,22753.9825439,90,-0.151122
19,-6.25,130.75,282360.9744261146,148606.65327050528,21.139615461018487,209.232650757,38.3391227722,62895.2445984,90,-0.151122
20,-6.25,130.0,282360.9744261146,148606.65327050528,21.139615461018487,210.906295776,43.9541969299,123834.403992,90,-0.151122
21,-6.0,133.0,282360.9744261146,148606.65327050528,21.139615461018487,189.600845337,2.04383945465,4141.364097600001,90,-0.151122
22,-6.0,132.25,282360.9744261146,148606.65327050528,21.139615461018487,203.771759033,7.99106836319,10216.2723541,90,-0.151122
23,-6.0,131.5,282360.9744261146,148606.65327050528,21.139615461018487,207.083694458,23.1202888489,28304.1248322,90,-0.151122
24,-6.0,130.75,282360.9744261146,148606.65327050528,21.139615461018487,202.345550537,37.8865699768,72523.7960815,90,-0.151122
25,-6.0,130.0,282360.9744261146,148606.65327050528,21.139615461018487,200.726226807,41.8570709229,135250.03051799999,90,-0.151122
26,-5.75,133.0,282360.9744261146,148606.65327050528,21.139615461018487,173.64704895,2.12658810616,4154.93106842,90,-0.151122
27,-5.75,132.25,282360.9744261146,148606.65327050528,21.139615461018487,193.934890747,9.39362239838,11583.4770203,90,-0.151122
28,-5.75,131.5,282360.9744261146,148606.65327050528,21.139615461018487,199.119522095,24.308391571,33169.7120667,90,-0.151122
29,-5.75,130.75,282360.9744261146,148606.65327050528,21.139615461018487,192.406951904,35.9036369324,78893.6462402,90,-0.151122
30,-5.75,130.0,282360.9744261146,148606.65327050528,21.139615461018487,186.217559814,40.3425102234,141038.19274899998,90,-0.151122
31,-5.5,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
32,-5.5,132.25,282360.9744261146,148606.65327050528,21.139615461018487,184.354354858,10.5176935196,12350.2655029,90,-0.151122
33,-5.5,131.5,282360.9744261146,148606.65327050528,21.139615461018487,188.317398071,24.3171443939,36203.7315369,90,-0.151122
34,-5.5,130.75,282360.9744261146,148606.65327050528,21.139615461018487,179.12802124,33.3450126648,80947.2808838,90,-0.151122
35,-5.5,130.0,282360.9744261146,148606.65327050528,21.139615461018487,169.308532715,40.6073074341,140123.22998,90,-0.151122
36,-5.25,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
37,-5.25,132.25,282360.9744261146,148606.65327050528,21.139615461018487,175.360931396,11.0201673508,12330.2440643,90,-0.151122
38,-5.25,131.5,282360.9744261146,148606.65327050528,21.139615461018487,175.52116394,23.7617340088,36650.772094700005,90,-0.151122
39,-5.25,130.75,282360.9744261146,148606.65327050528,21.139615461018487,163.121505737,31.3851909637,78325.8514404,90,-0.151122
40,-5.25,130.0,282360.9744261146,148606.65327050528,21.139615461018487,154.354110718,42.1689491272,132358.42895499998,90,-0.151122
41,-5.0,133.0,282360.9744261146,148606.65327050528,21.139615461018487,,,,90,-0.151122
42,-5.0,132.25,282360.9744261146,148606.65327050528,21.139615461018487,166.756622314,10.7482042313,11493.156433099999,90,-0.151122
43,-5.0,131.5,282360.9744261146,148606.65327050528,21.139615461018487,162.097885132,22.906955719,34329.7615051,90,-0.151122
44,-5.0,130.75,282360.9744261146,148606.65327050528,21.139615461018487,146.747009277,30.8789405823,71244.5144653,90,-0.151122
45,-5.0,130.0,282360.9744261146,148606.65327050528,21.139615461018487,143.021865845,43.4065246582,118841.651917,90,-0.151122
