,latitude,longitude,magnitude,delta_logl,delta_logw,depth_offset
0,-5.91496,131.55200000000002,8.570110000000001,-0.35720599999999997,-0.12972,-0.151122
1,-5.785403802916986,131.59030921596244,8.54157043698848,-0.3546544497087236,-0.13620201098634302,0.2913052332985887
2,-5.785403802916986,131.59030921596244,8.54157043698848,-0.3546544497087236,-0.13620201098634302,0.2913052332985887
3,-5.785403802916986,131.59030921596244,8.54157043698848,-0.3546544497087236,-0.13620201098634302,0.2913052332985887
4,-5.785403802916986,131.59030921596244,8.54157043698848,-0.3546544497087236,-0.13620201098634302,0.2913052332985887
5,-5.785403802916986,131.59030921596244,8.54157043698848,-0.3546544497087236,-0.13620201098634302,0.2913052332985887
6,-5.811231523826307,131.47179597746972,8.487558081268427,-0.3560390529018202,-0.134184753650247,0.05435329947976228
7,-5.811231523826307,131.47179597746972,8.487558081268427,-0.3560390529018202,-0.134184753650247,0.05435329947976228
8,-5.749755468495339,131.4180612569652,8.454960957108472,-0.35701924040228444,-0.14169335559504598,0.5791050198620523
9,-5.748398107933746,131.4182014092557,8.441559039119786,-0.35527147573313084,-0.1473951895031466,-0.5491862906308834
10,-5.663672871535942,131.48999308130308,8.475404793566089,-0.3524413148734357,-0.13931268853997306,-0.9943388177924142
11,-5.663672871535942,131.48999308130308,8.475404793566089,-0.3524413148734357,-0.13931268853997306,-0.9943388177924142
12,-5.663672871535942,131.48999308130308,8.475404793566089,-0.3524413148734357,-0.13931268853997306,-0.9943388177924142
13,-5.730669567274274,131.46975954531337,8.500330366673067,-0.3535157961782149,-0.14349127034446735,-1.0048923415998874
14,-5.69679425935338,131.481814781061,8.449302576162937,-0.35428060115197724,-0.1507211638430973,-1.1010214479584108
15,-5.74991881428981,131.5342240710103,8.49289236629935,-0.3524933494340513,-0.1574543567297865,-1.4067764050472262
16,-5.688646521616789,131.48495328637523,8.471183567473291,-0.3586238264414692,-0.16437806422943324,-1.710552342174365
17,-5.595498804620737,131.64586312920002,8.47668082558753,-0.35250906366648616,-0.167202815365026,-2.1976777326100936
18,-5.5582502423145215,131.62420876896786,8.532257388151853,-0.3473655915466479,-0.16924065902442378,-1.870419318736968
19,-5.5582502423145215,131.62420876896786,8.532257388151853,-0.3473655915466479,-0.16924065902442378,-1.870419318736968
20,-5.585110880704505,131.78452682030493,8.525789982321553,-0.3550149156689247,-0.17479622209222956,-1.5347123512525962
21,-5.491494160092351,131.72647747967778,8.540895819871237,-0.34619918843818803,-0.17197963050486353,-1.5375109001416878
22,-5.491494160092351,131.72647747967778,8.540895819871237,-0.34619918843818803,-0.17197963050486353,-1.5375109001416878
23,-5.571593253248705,131.77960503881405,8.546370264684269,-0.3450520093670651,-0.16255692866915492,-1.061983291567913
24,-5.571593253248705,131.77960503881405,8.546370264684269,-0.3450520093670651,-0.16255692866915492,-1.061983291567913
25,-5.640691227509517,131.68330025312227,8.470668663420923,-0.3416281704196468,-0.15604269985971128,-0.9153368234380336
26,-5.640691227509517,131.68330025312227,8.470668663420923,-0.3416281704196468,-0.15604269985971128,-0.9153368234380336
27,-5.573244572474193,131.74995282167956,8.521179553043211,-0.3350996752194859,-0.14927759747087355,-1.340476242252987
28,-5.573244572474193,131.74995282167956,8.521179553043211,-0.3350996752194859,-0.14927759747087355,-1.340476242252987
29,-5.573244572474193,131.74995282167956,8.521179553043211,-0.3350996752194859,-0.14927759747087355,-1.340476242252987
30,-5.573244572474193,131.74995282167956,8.521179553043211,-0.3350996752194859,-0.14927759747087355,-1.340476242252987
31,-5.573244572474193,131.74995282167956,8.521179553043211,-0.3350996752194859,-0.14927759747087355,-1.340476242252987
32,-5.5997145998241535,131.71588161898285,8.572587383444189,-0.3289002299000243,-0.14586840884732516,-1.4589075302061505
33,-5.717676701058428,131.66565316257194,8.554849867203266,-0.338853403283332,-0.14964162493994465,-0.3292430165069757
34,-5.769822124217675,131.74147817848305,8.586151654215875,-0.3243256364946714,-0.1565140464030503,-0.7623594360462338
35,-5.81984671418243,131.52206224118063,8.540844199873174,-0.3256930550742692,-0.15644699546642826,-0.8210908991974533
36,-5.81984671418243,131.52206224118063,8.540844199873174,-0.3256930550742692,-0.15644699546642826,-0.8210908991974533
37,-5.8656928984495,131.4758035420507,8.543409074843732,-0.32085808946600225,-0.1421060670272817,-1.5343154287424996
38,-5.8758581975161785,131.51518660168082,8.566736053244473,-0.31616238366891497,-0.14166301250612873,-0.30665033296958244
39,-5.84123127709126,131.50074463605876,8.554009468860476,-0.3184181974866169,-0.1385876515084275,-0.5016143840082742
40,-5.903325078394916,131.48258811121468,8.549101018430855,-0.3195442159237414,-0.14218819402773022,1.2880419700039258
41,-5.903325078394916,131.48258811121468,8.549101018430855,-0.3195442159237414,-0.14218819402773022,1.2880419700039258
42,-5.869231525287545,131.53047187795298,8.543482537698727,-0.3186154788742507,-0.14609548095806835,1.676312646439556
43,-5.654125791149527,131.63031774600606,8.51636793631028,-0.3225110065399642,-0.14547134672231365,1.7892132914574406
44,-5.739659499203303,131.58658090210346,8.49034735909195,-0.31591623571395844,-0.13915140109485402,2.39642580453688
45,-5.814269457940601,131.476277104385,8.46548758064092,-0.3187883364635533,-0.13466568976253115,2.076572929075263
46,-5.814269457940601,131.476277104385,8.46548758064092,-0.3187883364635533,-0.13466568976253115,2.076572929075263
47,-5.786367989478544,131.54104948946699,8.470412375553467,-0.3116545619433483,-0.13918402692998474,1.623725715773844
48,-5.736609625950843,131.5613826224113,8.468211444003746,-0.31298678385526,-0.1410642260198307,2.3320326586554168
