,Pulu Ai height,Ambon height,Banda Neira arrival,Banda Neira height,Banda Neira inundation,Buru height,Hulaliu height,Saparua arrival,Saparua height,Saparua inundation,Kulur height,Ameth height,Amahai height
0,1.1552910000000054,2.63405,22.085221666666666,2.9370809999999987,69.90993953529707,1.5677280999999998,1.2744210000000002,39.52725,5.2241301,151.0496435425143,1.2348236999999995,1.6535262999999991,3.891482
1,1.0968379999999982,2.5616410000000016,21.7979,2.928220000000003,69.62886215265465,1.5684615,1.2136579999999988,39.40504833333333,5.0604768,144.77368994613198,1.1883271999999998,1.6137391,3.932652000000002
2,1.0968379999999982,2.5616410000000016,21.7979,2.928220000000003,69.62886215265465,1.5684615,1.2136579999999988,39.40504833333333,5.0604768,144.77368994613198,1.1883271999999998,1.6137391,3.932652000000002
3,1.0968379999999982,2.5616410000000016,21.7979,2.928220000000003,69.62886215265465,1.5684615,1.2136579999999988,39.40504833333333,5.0604768,144.77368994613198,1.1883271999999998,1.6137391,3.932652000000002
4,1.0968379999999982,2.5616410000000016,21.7979,2.928220000000003,69.62886215265465,1.5684615,1.2136579999999988,39.40504833333333,5.0604768,144.77368994613198,1.1883271999999998,1.6137391,3.932652000000002
5,1.0968379999999982,2.5616410000000016,21.7979,2.928220000000003,69.62886215265465,1.5684615,1.2136579999999988,39.40504833333333,5.0604768,144.77368994613198,1.1883271999999998,1.6137391,3.932652000000002
6,1.1260130000000004,2.5377249999999982,21.65474833333333,2.749840000000006,64.03158636235263,1.5380473,1.1923770000000005,38.80990833333333,4.8002047999999995,134.93172794455072,1.1279453000000004,1.6970537000000014,3.960677
7,1.1260130000000004,2.5377249999999982,21.65474833333333,2.749840000000006,64.03158636235263,1.5380473,1.1923770000000005,38.80990833333333,4.8002047999999995,134.93172794455072,1.1279453000000004,1.6970537000000014,3.960677
8,1.179271,2.606384000000002,21.188348333333334,2.7562909999999974,64.23195156463507,1.495198,1.1582880000000024,38.25044166666667,4.737426299999999,132.58396879251057,1.0570450999999998,1.7396636000000003,3.7496059999999996
9,1.167581999999996,2.570019000000002,21.27454833333333,2.738032000000004,63.66524100354024,1.45549,1.161278000000003,38.3438,4.7092458,131.53344805677142,1.0332880000000009,1.7133287000000017,3.60352
10,1.1534660000000017,2.6465689999999995,20.958105,2.8411229999999956,66.88125429631732,1.5565724,1.1422810000000003,38.33589,4.7697270000000005,133.79064767292886,1.101719000000001,1.7239598999999988,3.9880840000000006
11,1.1534660000000017,2.6465689999999995,20.958105,2.8411229999999956,66.88125429631732,1.5565724,1.1422810000000003,38.33589,4.7697270000000005,133.79064767292886,1.101719000000001,1.7239598999999988,3.9880840000000006
12,1.1534660000000017,2.6465689999999995,20.958105,2.8411229999999956,66.88125429631732,1.5565724,1.1422810000000003,38.33589,4.7697270000000005,133.79064767292886,1.101719000000001,1.7239598999999988,3.9880840000000006
13,1.2469019999999986,2.828453,21.022646666666667,3.0257319999999983,72.73748922684452,1.6629497,1.2311809999999994,38.36450833333333,5.0727687999999995,145.24275727164078,1.2049544,1.8664376999999988,4.281306000000002
14,1.1512740000000008,2.5815719999999978,21.302908333333328,2.8398450000000044,66.84114441285921,1.4857186999999998,1.1961779999999995,38.63041,4.7521889,133.1351259841239,1.0406814999999998,1.6992299000000006,3.745638999999997
15,1.1797779999999989,2.725672000000001,21.625663333333332,3.055059999999997,73.67905043094005,1.6180335,1.3609650000000002,39.15394166666667,5.0943157,146.06590919839218,1.1667074,1.7764589000000015,4.025288999999997
16,1.269867000000005,2.8597509999999997,21.094408333333334,3.142992,76.52007649639266,1.615638,1.317111999999998,38.572585,5.114649,146.8437633418659,1.1342473000000002,1.8700414999999992,4.026557
17,1.0501110000000011,2.552695,21.73338833333333,2.9332899999999995,69.78965160284362,1.5217655,1.3137839999999985,39.59191333333333,4.854708499999999,136.97835194712314,1.0455415000000006,1.5437879,3.5707349999999987
18,1.2071509999999959,3.037183999999998,21.021938333333328,3.3839669999999984,84.44083521843505,1.7936012,1.3798320000000004,38.95922333333333,5.3747648,156.88461098495898,1.2721745999999996,1.8306249999999995,4.390813999999999
19,1.2071509999999959,3.037183999999998,21.021938333333328,3.3839669999999984,84.44083521843505,1.7936012,1.3798320000000004,38.95922333333333,5.3747648,156.88461098495898,1.2721745999999996,1.8306249999999995,4.390813999999999
20,1.0929069999999967,2.4212890000000016,22.494835,2.9813860000000005,71.31955725065555,1.4502294999999998,1.1615010000000012,40.568979999999996,4.9942121,142.25155948361459,0.9994486999999984,1.307728599999999,2.9685969999999986
21,1.1720970000000008,2.7810850000000014,21.53925333333333,3.262026999999996,80.408340043714,1.6608002000000002,1.2255070000000003,39.61307833333333,5.135835,147.6553349041413,1.1470281,1.5553071000000005,3.777695000000002
22,1.1720970000000008,2.7810850000000014,21.53925333333333,3.262026999999996,80.408340043714,1.6608002000000002,1.2255070000000003,39.61307833333333,5.135835,147.6553349041413,1.1470281,1.5553071000000005,3.777695000000002
23,1.114003000000004,2.4987440000000003,22.22178333333333,3.0621719999999972,73.9078331108447,1.4897363000000001,1.1827590000000008,40.27426666666667,5.041852,144.06368420492888,1.0381509999999992,1.3557551000000014,3.169103
24,1.114003000000004,2.4987440000000003,22.22178333333333,3.0621719999999972,73.9078331108447,1.4897363000000001,1.1827590000000008,40.27426666666667,5.041852,144.06368420492888,1.0381509999999992,1.3557551000000014,3.169103
25,0.9597459999999955,2.238986,22.229205,2.614452999999997,59.86304629076865,1.3600757999999995,1.1466929999999989,40.059153333333335,4.573328900000001,126.49624690829849,0.9425447999999984,1.3186394999999995,2.9507099999999973
26,0.9597459999999955,2.238986,22.229205,2.614452999999997,59.86304629076865,1.3600757999999995,1.1466929999999989,40.059153333333335,4.573328900000001,126.49624690829849,0.9425447999999984,1.3186394999999995,2.9507099999999973
27,1.0291440000000025,2.3391100000000016,22.09265333333333,2.8044239999999974,65.7318610014216,1.4037318,1.1008359999999977,40.05898,4.748653599999999,133.00308458785682,0.9802809999999996,1.2918661999999994,2.9613600000000027
28,1.0291440000000025,2.3391100000000016,22.09265333333333,2.8044239999999974,65.7318610014216,1.4037318,1.1008359999999977,40.05898,4.748653599999999,133.00308458785682,0.9802809999999996,1.2918661999999994,2.9613600000000027
29,1.0291440000000025,2.3391100000000016,22.09265333333333,2.8044239999999974,65.7318610014216,1.4037318,1.1008359999999977,40.05898,4.748653599999999,133.00308458785682,0.9802809999999996,1.2918661999999994,2.9613600000000027
30,1.0291440000000025,2.3391100000000016,22.09265333333333,2.8044239999999974,65.7318610014216,1.4037318,1.1008359999999977,40.05898,4.748653599999999,133.00308458785682,0.9802809999999996,1.2918661999999994,2.9613600000000027
31,1.0291440000000025,2.3391100000000016,22.09265333333333,2.8044239999999974,65.7318610014216,1.4037318,1.1008359999999977,40.05898,4.748653599999999,133.00308458785682,0.9802809999999996,1.2918661999999994,2.9613600000000027
32,1.1674779999999956,2.709218,21.57512166666667,3.1802819999999983,77.73295953778238,1.6136581,1.2459180000000032,39.53399666666667,5.1840628,149.50695561410618,1.1731973,1.5540538000000002,3.759603
