,latitude,longitude,magnitude,delta_logl,delta_logw,depth_offset,dip_offset,strike_offset,rake_offset,fault_idx
0,-6.761551403843738,119.9511340553937,8.626234772461101,-0.2968483576577492,-0.2821762678667763,-4.425621077123107,1.4804808373323015,0.568100802346763,-0.8355596453002578,1.0
1,-6.761551403843738,119.9511340553937,8.626234772461101,-0.2968483576577492,-0.2821762678667763,-4.425621077123107,1.4804808373323015,0.568100802346763,-0.8355596453002578,1.0
2,-6.761551403843738,119.9511340553937,8.626234772461101,-0.2968483576577492,-0.2821762678667763,-4.425621077123107,1.4804808373323015,0.568100802346763,-0.8355596453002578,1.0
3,-6.761551403843738,119.9511340553937,8.626234772461101,-0.2968483576577492,-0.2821762678667763,-4.425621077123107,1.4804808373323015,0.568100802346763,-0.8355596453002578,1.0
4,-6.868123559424037,119.97775140140448,8.622775788238705,-0.298496371843829,-0.2696256542808053,-5.13251655765708,2.436624808532801,3.7772357215688888,1.7341254343693164,1.0
5,-6.858510421106588,120.00778236060991,8.647433363252855,-0.3071738251353275,-0.2749464225756697,-4.833970883726981,1.597934528760426,2.6222343628914397,2.987667131734653,1.0
6,-6.858510421106588,120.00778236060991,8.647433363252855,-0.3071738251353275,-0.2749464225756697,-4.833970883726981,1.597934528760426,2.6222343628914397,2.987667131734653,1.0
7,-6.825868315012918,120.0794723990732,8.67124381970246,-0.3017906870643862,-0.2922581446727809,-5.189627922582885,-1.7750045272842754,3.3438100846562304,3.49015482613814,1.0
8,-6.825868315012918,120.0794723990732,8.67124381970246,-0.3017906870643862,-0.2922581446727809,-5.189627922582885,-1.7750045272842754,3.3438100846562304,3.49015482613814,1.0
9,-6.842659712070098,120.00820358634951,8.651358603010436,-0.2902287771179176,-0.28701427347319336,-5.7061837582990185,-2.0390006544365797,3.5079597642836253,-1.6635238647126105,1.0
10,-6.795937233402539,119.98667487140223,8.68608476610947,-0.3015000232846276,-0.27434219998138,-5.08724792092709,-1.0678501426830835,4.2091524273991565,3.7866891714014512,1.0
11,-6.740019612297715,119.96308277602593,8.682231648921062,-0.30304832411078403,-0.28910559664171703,-5.62189050534745,-2.2883260240216767,0.8968571830719765,0.8867159152635748,1.0
12,-6.758744201233123,119.98231524341692,8.715700622223228,-0.28678403790925033,-0.3009230646161921,-5.6681354566887805,0.36908409608634907,3.933929565523569,1.0396348241989668,1.0
13,-6.761967364159796,119.99257231688208,8.735192831912181,-0.2937147783519244,-0.2962960612466267,-5.270151008913869,-2.52825794432408,4.963000803707207,2.793040358743544,1.0
14,-6.7037500784916375,120.00731386608965,8.721693111691772,-0.307975619859104,-0.2834682452551826,-5.6587365277193005,-2.9099960755452794,3.4076887392673965,2.263181346291312,1.0
15,-6.7037500784916375,120.00731386608965,8.721693111691772,-0.307975619859104,-0.2834682452551826,-5.6587365277193005,-2.9099960755452794,3.4076887392673965,2.263181346291312,1.0
16,-6.723740593828478,120.05689441800423,8.707872029392751,-0.30020224932934897,-0.2783353923662477,-5.742157904630173,0.3631279500375468,2.0002356947878424,-2.634194727826796,1.0
17,-6.7747383563648045,120.06027253204624,8.643399535887212,-0.3079233865929156,-0.2893916900317269,-5.6455652787907935,-1.3856720688711095,0.30699504465513994,1.9965028759484515,1.0
18,-6.733940454618383,120.05143657767401,8.627960845285799,-0.2900274374497599,-0.28262081231075603,-5.689487299347572,0.8677691862466692,4.429675791882613,2.0043425920910987,1.0
19,-6.733940454618383,120.05143657767401,8.627960845285799,-0.2900274374497599,-0.28262081231075603,-5.689487299347572,0.8677691862466692,4.429675791882613,2.0043425920910987,1.0
20,-6.7177723166621295,120.03576798114555,8.608692704744392,-0.29409250117279684,-0.28204930355419605,-5.204996307483576,-1.8187005028649008,0.9133404556187924,0.5949675483480787,1.0
21,-6.6999103437679945,120.0064271215584,8.624576479559602,-0.2878452743285825,-0.28013490182035755,-5.6344221690846155,-2.365253694504296,-0.9395091825337822,1.7268472387858425,1.0
22,-6.746750497772693,119.9490779215526,8.572214373120554,-0.3023684655315775,-0.2779012048902872,-6.151644641789288,2.9060022349755945,-1.4755004297053251,-1.5490312270238993,1.0
23,-6.742535454268981,119.93350176712143,8.522925539837358,-0.3255487662537607,-0.2664329024912241,-6.50508208171939,0.9930135816802186,0.6192844601576306,-1.8268487668627629,1.0
24,-6.739644645833375,119.90236861361186,8.477303518570718,-0.3134749623594059,-0.2654716109255525,-6.429181470035286,-1.893174932801946,0.17998676082896253,-0.9494562645637324,1.0
25,-6.739644645833375,119.90236861361186,8.477303518570718,-0.3134749623594059,-0.2654716109255525,-6.429181470035286,-1.893174932801946,0.17998676082896253,-0.9494562645637324,1.0
26,-6.7103854217075805,119.82302271412668,8.419652035972772,-0.3068278574787047,-0.2515609831930292,-6.7721191268645065,0.15398031788084188,3.508527417000083,-0.06170237863514005,1.0
27,-6.7103854217075805,119.82302271412668,8.419652035972772,-0.3068278574787047,-0.2515609831930292,-6.7721191268645065,0.15398031788084188,3.508527417000083,-0.06170237863514005,1.0
28,-6.709711192855622,119.8942403312087,8.464660153651133,-0.3170266272355055,-0.2515122602406851,-7.388486603752433,-1.8197204054948592,2.7778005205806986,-1.2617837049522165,1.0
29,-6.669818132906142,119.87806990825837,8.478796544759351,-0.3077317141513709,-0.24276000185588645,-7.4756194690142355,-1.6364483288171174,6.915980243423357,-2.003402549172894,1.0
30,-6.669818132906142,119.87806990825837,8.478796544759351,-0.3077317141513709,-0.24276000185588645,-7.4756194690142355,-1.6364483288171174,6.915980243423357,-2.003402549172894,1.0
