,prior_logpdf,llh,posterior_logpdf
0,-23.278931938390198,-21.951681811154717,-45.23061374954493
1,-23.278931938390198,-21.951681811154717,-45.23061374954493
2,-23.780265626944608,-21.597392872524107,-45.377658499468716
3,-23.780265626944608,-21.597392872524107,-45.377658499468716
4,-23.699629472276893,-21.603348361324194,-45.302977833601076
5,-23.589387291696077,-21.647215809655556,-45.23660310135163
6,-25.34257384101345,-21.388735848188244,-46.73130968920171
7,-24.789633960522014,-21.528192176746543,-46.31782613726856
8,-24.789633960522014,-21.528192176746543,-46.31782613726856
9,-24.324816955454274,-21.343004242471885,-45.66782119792616
10,-26.0103805649561,-21.1798565318112,-47.190237096767305
11,-25.514592168965805,-21.547957933229927,-47.06255010219573
12,-25.48641510754453,-21.270474844693112,-46.75688995223764
13,-25.891299162884213,-21.40391148785487,-47.29521065073908
14,-25.891299162884213,-21.40391148785487,-47.29521065073908
15,-25.83593887050421,-21.929964281409486,-47.7659031519137
16,-25.019224088019858,-21.99338708534666,-47.01261117336653
17,-25.96376504961768,-21.981258206603428,-47.94502325622111
18,-26.356661789888946,-22.066646914944016,-48.42330870483296
19,-26.356661789888946,-22.066646914944016,-48.42330870483296
20,-26.356661789888946,-22.066646914944016,-48.42330870483296
21,-25.276666962292232,-22.26036218976853,-47.53702915206075
22,-25.276666962292232,-22.26036218976853,-47.53702915206075
23,-25.276666962292232,-22.26036218976853,-47.53702915206075
24,-25.276666962292232,-22.26036218976853,-47.53702915206075
25,-23.94679503738588,-22.209019625908685,-46.155814663294564
26,-23.76225783351662,-22.075540010561994,-45.837797844078615
27,-24.007051953403447,-22.153404340322762,-46.16045629372623
28,-23.17875723779192,-22.590017582957802,-45.76877482074971
29,-24.128406642789017,-22.32436511240257,-46.45277175519159
30,-24.128406642789017,-22.32436511240257,-46.45277175519159
31,-24.62001690408911,-22.51305305004622,-47.13306995413532
32,-25.06588216417677,-22.442775119992863,-47.508657284169644
33,-24.28659053538869,-22.550136135617805,-46.836726671006495
34,-24.28659053538869,-22.550136135617805,-46.836726671006495
35,-24.06912620023457,-22.425375299280358,-46.49450149951493
36,-24.06912620023457,-22.425375299280358,-46.49450149951493
37,-23.953258519611968,-22.644123858394504,-46.597382378006465
38,-23.953258519611968,-22.644123858394504,-46.597382378006465
39,-24.47397865495923,-22.70589781009469,-47.17987646505393
40,-24.87149029058689,-22.58498453676525,-47.45647482735214
41,-25.454473874279827,-22.81952137705413,-48.27399525133397
42,-25.124861775224065,-22.82041305502805,-47.94527483025211
43,-25.124861775224065,-22.82041305502805,-47.94527483025211
44,-25.124861775224065,-22.82041305502805,-47.94527483025211
45,-25.64969914202516,-22.76957747732471,-48.41927661934986
46,-25.031548693659786,-22.727484791149372,-47.75903348480915
47,-25.23737443171261,-22.76227095564508,-47.9996453873577
48,-25.23737443171261,-22.76227095564508,-47.9996453873577
49,-25.84717282896968,-22.170864654346005,-48.01803748331568
50,-25.84717282896968,-22.170864654346005,-48.01803748331568
51,-25.84717282896968,-22.170864654346005,-48.01803748331568
52,-25.84717282896968,-22.170864654346005,-48.01803748331568
53,-25.749989706658482,-21.605206273357247,-47.35519598001573
54,-25.749989706658482,-21.605206273357247,-47.35519598001573
55,-25.749989706658482,-21.605206273357247,-47.35519598001573
56,-25.749989706658482,-21.605206273357247,-47.35519598001573
57,-25.749989706658482,-21.605206273357247,-47.35519598001573
58,-26.81185435723773,-21.777854451847936,-48.58970880908566
59,-26.81185435723773,-21.777854451847936,-48.58970880908566
60,-26.81185435723773,-21.777854451847936,-48.58970880908566
61,-26.81185435723773,-21.777854451847936,-48.58970880908566
62,-26.21107140510437,-21.578573694619873,-47.789645099724254
63,-26.21107140510437,-21.578573694619873,-47.789645099724254
64,-26.21107140510437,-21.578573694619873,-47.789645099724254
65,-26.21107140510437,-21.578573694619873,-47.789645099724254
66,-27.39978907556657,-21.379871039190775,-48.77966011475735
67,-28.592847320959397,-20.85962123988553,-49.452468560844935
