,prior_logpdf,llh,posterior_logpdf
0,-14.572281434302466,-35.24665683044268,-49.81893826474515
1,-14.528739308190449,-35.31155804089588,-49.84029734908634
2,-14.742382744370255,-35.26615405226454,-50.008536796634786
3,-14.732913762888925,-35.70375708144128,-50.436670844330216
4,-14.732913762888925,-35.70375708144128,-50.436670844330216
5,-14.732913762888925,-35.70375708144128,-50.436670844330216
6,-14.548790553651767,-36.1500750244801,-50.69886557813186
7,-14.548790553651767,-36.1500750244801,-50.69886557813186
8,-14.548790553651767,-36.1500750244801,-50.69886557813186
9,-14.548790553651767,-36.1500750244801,-50.69886557813186
10,-14.626765032918149,-35.1794332120072,-49.806198244925355
11,-14.626765032918149,-35.1794332120072,-49.806198244925355
12,-15.140707916938553,-35.02446406540067,-50.16517198233922
13,-15.140707916938553,-35.02446406540067,-50.16517198233922
14,-15.346930738478196,-35.22165220986032,-50.56858294833853
15,-15.346930738478196,-35.22165220986032,-50.56858294833853
16,-15.085545246691543,-35.189158191171906,-50.274703437863465
17,-15.085545246691543,-35.189158191171906,-50.274703437863465
18,-15.085545246691543,-35.189158191171906,-50.274703437863465
19,-15.085545246691543,-35.189158191171906,-50.274703437863465
20,-15.371242122107393,-37.06222942502577,-52.433471547133166
21,-15.094471864618061,-34.90238391058926,-49.99685577520732
22,-15.15697808664659,-35.21719492357464,-50.37417301022123
23,-15.15697808664659,-35.21719492357464,-50.37417301022123
24,-15.569233043725333,-35.447767513248124,-51.01700055697346
25,-15.569233043725333,-35.447767513248124,-51.01700055697346
26,-15.40615865085279,-35.598355561072005,-51.00451421192479
27,-14.60359872715277,-37.62815527756933,-52.2317540047221
28,-14.63554957284109,-35.916361109229214,-50.55191068207029
29,-14.778735863651898,-35.945284754457454,-50.72402061810935
30,-14.559990836280456,-35.683411769555576,-50.24340260583603
31,-14.559990836280456,-35.683411769555576,-50.24340260583603
32,-14.518184697850074,-35.470614477935634,-49.98879917578572
33,-14.344556707564946,-35.76489086134495,-50.1094475689099
34,-14.344556707564946,-35.76489086134495,-50.1094475689099
35,-14.344556707564946,-35.76489086134495,-50.1094475689099
36,-14.329864355655241,-36.44697434249593,-50.77683869815117
37,-14.329864355655241,-36.44697434249593,-50.77683869815117
38,-14.9762261080331,-35.51291925040289,-50.48914535843599
39,-14.939655691642153,-36.476147908615324,-51.415803600257476
40,-14.802127543034024,-35.187127568155326,-49.98925511118936
41,-15.253800730689369,-35.47470153447339,-50.72850226516275
42,-14.548658672658258,-35.22446839691628,-49.773127069574535
43,-14.548658672658258,-35.22446839691628,-49.773127069574535
44,-14.56019832943953,-35.81841986140589,-50.37861819084542
45,-14.56019832943953,-35.81841986140589,-50.37861819084542
46,-15.402192777513008,-35.70235727093128,-51.10455004844429
47,-14.86233895469627,-35.634436988727835,-50.4967759434241
48,-14.507890047419195,-35.9267802559408,-50.43467030336001
49,-14.6603017854388,-35.5906061634013,-50.2509079488401
50,-14.6603017854388,-35.5906061634013,-50.2509079488401
51,-14.822423394473422,-35.94510186982531,-50.767525264298754
52,-14.677793907851612,-36.019768054286864,-50.69756196213848
53,-14.677793907851612,-36.019768054286864,-50.69756196213848
54,-14.677793907851612,-36.019768054286864,-50.69756196213848
55,-14.631713381802273,-35.57214543011155,-50.203858811913825
56,-14.60374424674147,-35.42952525431735,-50.03326950105882
57,-14.589466895388279,-36.18597773163583,-50.775444627024115
58,-14.502720557777556,-35.280706568063394,-49.78342712584094
59,-14.445290094376984,-35.859302525065175,-50.30459261944216
