,Strike,Length,Width,Depth,Slip,Rake,Dip,Longitude,Latitude,P-Strike,P-Length,P-Width,P-Depth,P-Slip,P-Rake,P-Dip,P-Logitude,P-Latitude,O-Strike,O-Length,O-Width,O-Depth,O-Slip,O-Rake,O-Dip,O-Logitude,O-Latitude,OP-Strike,OP-Length,OP-Width,OP-Depth,OP-Slip,OP-Rake,OP-Dip,OP-Logitude,OP-Latitude,Sample Prior,Sample LLH,Sample Posterior,Proposal Prior,Proposal LLH,Proposal Posterior,Wins,Proposal Accept/Reject,Acceptance ratio
64,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,274.9643135928858,352404.2567415554,32775.74755135229,72980.71268214502,8.221381645530023,61.46782200570965,20.0,130.61275430598582,-5.09772100390235,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,274.9643135928858,352404.2567415554,32775.74755135229,72980.71268214502,8.221381645530023,61.46782200570965,20.0,130.61275430598582,-5.09772100390235,-69.59042731036216,-inf,-inf,-70.41021486051852,-inf,-inf,0.0,Rejected,0.15151515151515152
65,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,274.9643135928858,352404.2567415554,32775.74755135229,72980.71268214502,8.221381645530023,61.46782200570965,20.0,130.61275430598582,-5.09772100390235,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,274.9643135928858,352404.2567415554,32775.74755135229,72980.71268214502,8.221381645530023,61.46782200570965,20.0,130.61275430598582,-5.09772100390235,-70.41021486051852,-inf,-inf,-69.45426654952598,-inf,-inf,1.0,Accepted,0.17647058823529413
66,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,272.20400233153987,351451.0981437371,31504.684629918618,74254.6121988468,8.41491498513504,61.11231049490265,20.0,130.52282288170474,-5.056927271281922,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,-70.41021486051852,-inf,-inf,-69.45426654952598,-inf,-inf,1.0,Accepted,0.17647058823529413
67,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,-70.41021486051852,-inf,-inf,-73.4775754820096,-inf,-inf,0.0,Rejected,0.17142857142857143
68,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,265.88489433310934,355611.50039698224,30971.40237982753,72538.00334772535,8.276309671880297,61.62200639214391,20.0,130.53307541428757,-5.009434987018851,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,265.88489433310934,355611.50039698224,30971.40237982753,72538.00334772535,8.276309671880297,61.62200639214391,20.0,130.53307541428757,-5.009434987018851,-70.41021486051852,-inf,-inf,-73.4775754820096,-inf,-inf,0.0,Rejected,0.17142857142857143
69,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,265.88489433310934,355611.50039698224,30971.40237982753,72538.00334772535,8.276309671880297,61.62200639214391,20.0,130.53307541428757,-5.009434987018851,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,265.88489433310934,355611.50039698224,30971.40237982753,72538.00334772535,8.276309671880297,61.62200639214391,20.0,130.53307541428757,-5.009434987018851,-73.4775754820096,-inf,-inf,-68.99620283388064,-inf,-inf,1.0,Accepted,0.19444444444444445
70,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,268.65875405442847,349920.99710704706,31543.01979091012,78117.5604190653,8.626413105224287,61.37799931121681,20.0,130.46622173704972,-5.1354661957959555,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,-73.4775754820096,-inf,-inf,-68.99620283388064,-inf,-inf,1.0,Accepted,0.19444444444444445
71,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,-73.4775754820096,-inf,-inf,-72.1931461708869,-inf,-inf,0.0,Rejected,0.1891891891891892
72,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,274.8027284302047,351032.27161778643,33229.5098490065,73338.3965699279,8.737831511015996,61.587821563925004,20.0,130.67175399154002,-5.2052467852978745,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,274.8027284302047,351032.27161778643,33229.5098490065,73338.3965699279,8.737831511015996,61.587821563925004,20.0,130.67175399154002,-5.2052467852978745,-73.4775754820096,-inf,-inf,-72.1931461708869,-inf,-inf,0.0,Rejected,0.1891891891891892
73,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,274.8027284302047,351032.27161778643,33229.5098490065,73338.3965699279,8.737831511015996,61.587821563925004,20.0,130.67175399154002,-5.2052467852978745,268.7401449446376,352259.93287298793,32731.47384592795,76433.4170204624,8.812604238933728,61.546870291482016,20.0,130.56756563485425,-5.1860143380172,274.8027284302047,351032.27161778643,33229.5098490065,73338.3965699279,8.737831511015996,61.587821563925004,20.0,130.67175399154002,-5.2052467852978745,-72.1931461708869,-inf,-inf,-69.88317616194976,-inf,-inf,1.0,Accepted,0.21052631578947367
