,Strike,Length,Width,Depth,Slip,Rake,Dip,Longitude,Latitude
0,277.1529,336409.138,35963.3559,25068.8161,9.1780816,59.6643293,11.8889907,131.448175,-4.63296475
1,273.41472629125985,337800.29691823886,38287.49593342652,38746.01428591929,9.231346684604768,60.336985485710045,20.0,131.40894597814003,-4.759571685293168
2,272.1884181834337,339129.21162180405,38244.003346522106,41357.32424300733,9.541575708752658,60.065023910821985,20.0,131.4025544346427,-4.845287934650294
3,273.2977801804909,340445.2254623564,38620.58423060993,43477.61963076808,9.40223747525935,60.06134212207942,20.0,131.3745607377065,-4.890650589501853
4,273.6792313915263,340546.90038654825,40609.64787995821,43607.42261774429,9.512724815776975,59.756647505614424,20.0,131.3846043887679,-4.903467814785479
5,277.3870397655944,343525.93509811786,40957.74773514656,43727.51499843996,9.689984843035312,59.86675562679269,20.0,131.44512089463268,-5.021247953713562
6,278.1415980972195,342718.22144451964,42710.03595224553,44120.2280219466,9.647975493210513,59.70866782276365,20.0,131.46301520632034,-5.081503012166633
7,278.70515205490847,338690.0259254664,41092.7037526681,43961.85778397581,9.658829222503385,59.698940286710574,20.0,131.50443336613284,-5.140545546744104
8,276.66254491822224,337107.1635431691,40632.357588233004,46390.91457496042,9.885957215843735,59.634976891696624,20.0,131.46301276728144,-5.185914379861031
9,280.2734865954462,337486.90856006293,40042.55898498996,42529.7371561084,9.584537272844209,59.29829911368431,20.0,131.57308229907082,-5.3278224176667255
10,280.2734865954462,337486.90856006293,40042.55898498996,42529.7371561084,9.584537272844209,59.29829911368431,20.0,131.57308229907082,-5.3278224176667255
