OBJECTID,Shape_Length,START_X,START_Y,END_X,END_Y,Strike,Lat,Long
53,0.008982049,128.4695978,-8.262266228,128.4785378,-8.261398569,84.45662766,-8.261832398,128.4740678
54,0.008982049,128.4785378,-8.261398569,128.4874776,-8.260527889,84.4372659,-8.260963229,128.4830077
55,0.008982048,128.4874776,-8.260527889,128.496417,-8.259654188,84.41790352,-8.260091038,128.4919473
56,0.008982048,128.496417,-8.259654188,128.5053562,-8.258777465,84.39853417,-8.259215826,128.5008866
57,0.008982048,128.5053562,-8.258777465,128.5142951,-8.25789772,84.3791642,-8.258337592,128.5098256
58,0.008982049,128.5142951,-8.25789772,128.5232336,-8.257014955,84.35980692,-8.257456337,128.5187643
59,0.008982048,128.5232336,-8.257014955,128.5321719,-8.256129168,84.34043507,-8.256572061,128.5277028
60,0.008982049,128.5321719,-8.256129168,128.5411099,-8.25524036,84.32107019,-8.255684764,128.5366409
61,0.008982047,128.5411099,-8.25524036,128.5500475,-8.254348532,84.30170977,-8.254794446,128.5455787
62,0.008982049,128.5500475,-8.254348532,128.5589849,-8.253453682,84.28233728,-8.253901107,128.5545162
63,0.008982048,128.5589849,-8.253453682,128.5679219,-8.252555812,84.26297622,-8.253004747,128.5634534
64,0.008982048,128.5679219,-8.252555812,128.5768587,-8.251654921,84.24360818,-8.252105366,128.5723903
65,0.008982048,128.5768587,-8.251654921,128.5857951,-8.25075101,84.22424584,-8.251202965,128.5813269
66,0.008982048,128.5857951,-8.25075101,128.5947313,-8.249844078,84.20487587,-8.250297544,128.5902632
67,0.008982049,128.5947313,-8.249844078,128.6036671,-8.248934126,84.18551289,-8.249389102,128.5991992
68,0.008982049,128.6036671,-8.248934126,128.6126026,-8.248021153,84.16614227,-8.248477639,128.6081349
69,0.008982048,128.6126026,-8.248021153,128.6215379,-8.247105161,84.14678305,-8.247563157,128.6170703
70,0.008982049,128.6215379,-8.247105161,128.6304728,-8.246186148,84.12741179,-8.246645654,128.6260053
71,0.008982048,128.6304728,-8.246186148,128.6394074,-8.245264116,84.10805126,-8.245725132,128.6349401
72,0.008982048,128.6394074,-8.245264116,128.6483417,-8.244339064,84.08868438,-8.24480159,128.6438745
73,0.008982048,128.6483417,-8.244339064,128.6572756,-8.243410992,84.06931685,-8.243875028,128.6528086
74,0.008982049,128.6572756,-8.243410992,128.6662093,-8.2424799,84.04994866,-8.242945446,128.6617425
75,0.008982049,128.6662093,-8.2424799,128.6751426,-8.241545789,84.03058615,-8.242012844,128.670676
76,0.008982048,128.6751426,-8.241545789,128.6840757,-8.240608659,84.01122231,-8.241077224,128.6796092
77,0.008982048,128.6840757,-8.240608659,128.6930084,-8.239668509,83.99185213,-8.240138584,128.688542
78,0.008982048,128.6930084,-8.239668509,128.7019408,-8.238725341,83.97249398,-8.239196925,128.6974746
79,0.008982049,128.7019408,-8.238725341,128.7108728,-8.237779153,83.95312246,-8.238252247,128.7064068
80,0.008982048,128.7108728,-8.237779153,128.7198046,-8.236829946,83.93375595,-8.237304549,128.7153387
81,0.008982048,128.7198046,-8.236829946,128.728736,-8.235877721,83.91439577,-8.236353833,128.7242703
82,0.008982048,128.728736,-8.235877721,128.7376671,-8.234922476,83.89502156,-8.235400098,128.7332016
83,0.008982049,128.7376671,-8.234922476,128.7465979,-8.233964214,83.87566705,-8.234443345,128.7421325
84,0.008982048,128.7465979,-8.233964214,128.7555284,-8.233002932,83.8562908,-8.233483573,128.7510631
85,0.008982049,128.7555284,-8.233002932,128.7644585,-8.232038632,83.83692859,-8.232520782,128.7599934
86,0.008982048,128.7644585,-8.232038632,128.7733883,-8.231071314,83.81756434,-8.231554973,128.7689234
87,0.008982048,128.7733883,-8.231071314,128.7823178,-8.230100978,83.79819939,-8.230586146,128.7778531
88,0.008982048,128.7823178,-8.230100978,128.791247,-8.229127624,83.77883444,-8.229614301,128.7867824
89,0.008982048,128.791247,-8.229127624,128.8001758,-8.228151252,83.75946811,-8.228639438,128.7957114
90,0.008982048,128.8001758,-8.228151252,128.8091043,-8.227171861,83.74009544,-8.227661556,128.80464
91,0.008982049,128.8091043,-8.227171861,128.8180324,-8.226189454,83.7207411,-8.226680657,128.8135684
92,0.008982048,128.8180324,-8.226189454,128.8269603,-8.225204028,83.70136634,-8.225696741,128.8224963
93,0.008982048,128.8269603,-8.225204028,128.8358878,-8.224215585,83.68200356,-8.224709806,128.831424
94,0.008982049,128.8358878,-8.224215585,128.8448149,-8.223224125,83.66264078,-8.223719855,128.8403513
95,0.008982048,128.8448149,-8.223224125,128.8537417,-8.222229647,83.64327026,-8.222726886,128.8492783
96,0.008982048,128.8537417,-8.222229647,128.8626682,-8.221232152,83.62390536,-8.221730899,128.858205
97,0.008982048,128.8626682,-8.221232152,128.8715944,-8.220231641,83.60454681,-8.220731896,128.8671313
98,0.008982048,128.8715944,-8.220231641,128.8805202,-8.219228112,83.58517415,-8.219729876,128.8760573
99,0.008982048,128.8805202,-8.219228112,128.8894457,-8.218221566,83.56580712,-8.218724839,128.8849829
100,0.008982049,128.8894457,-8.218221566,128.8983708,-8.217212004,83.54644644,-8.217716785,128.8939082
101,0.00898169,128.8983708,-8.217212004,128.9072953,-8.216200351,83.53276333,-8.216706177,128.9028331
102,0.00898169,128.9072953,-8.216200351,128.9162197,-8.215187452,83.52476415,-8.215693901,128.9117575
103,0.008981689,128.9162197,-8.215187452,128.925144,-8.214173308,83.51677058,-8.21468038,128.9206819
104,0.00898169,128.925144,-8.214173308,128.9340681,-8.213157917,83.50876506,-8.213665612,128.929606
105,0.00898169,128.9340681,-8.213157917,128.9429921,-8.212141282,83.50077784,-8.212649599,128.9385301
