id,time,lat,lon,Depth,Magnitude,event-type,mrr,mtt,mpp,mrt,mrp,mtp,type,moment-lat,moment-lon,moment-depth,moment-duration,strike1,dip1,rake1,strike2,dip2,rake2,Strike,Dip,Rake,description
usp0007d1w,1996-02-17T05:59:30.550,-0.891,136.952,33,8.2,earthquake,7.04E+020,-6.57E+020,-4.73E+019,-1.38E+021,7.46E+020,3.23E+020,NA,-0.85,136.4299,11.5,58,107,12,79,297,77,92,107,12,79,"good, biak earthquake"
usp0007jcu,1996-06-10T04:03:35.480,51.564,-177.632,33,7.9,earthquake,4.81E+020,-4.48E+020,-3.36E+019,4.95E+020,2.64E+020,-1.76E+020,NA,51.46,-177.63,23.5,60,256,21,101,63,69,85,256,21,101,"good, Andreanov tsunami"
usp0007swp,1996-11-12T16:59:44.030,-14.993,-75.675,33,7.7,earthquake,3.5E+020,-6.03E+019,-2.9E+020,3.8E+019,-2.7E+020,1.67E+020,NA,-15.29,-75.2659,23.5,62,319,28,68,164,63,101,319,28,68,1m tsunami
usp00080wt,1997-04-21T12:02:26.430,-12.584,166.676,33,7.7,earthquake,3.56E+020,-3.6E+019,-3.2E+020,-7.67E+019,-3.48E+020,2.73E+020,NA,-13.28,166.2706,60.5,84,301,36,41,175,66,118,301,36,41,local tsunami santa cruz islands
usp0008btk,1997-12-05T11:26:54.690,54.841,162.035,33,7.8,earthquake,4.66E+020,-1.12E+020,-3.54E+020,3.99E+020,4.76E+020,-1.82E+020,NA,54.64,161.6927,23.5,60,200,18,73,37,71,95,200,18,73,good
usp0009j4n,1999-11-26T13:21:15.570,-16.423,168.214,33,7.5,earthquake,1.55E+020,1.76E+019,-1.73E+020,-3.39E+019,5.3E+019,-1.3E+019,NA,-16.02,168.21,25.5,64,350,55,73,197,38,111,197,38,111,
usp000a45f,2000-11-17T21:01:56.490,-5.496,151.781,33,7.8,earthquake,1.83E+020,-1.68E+020,-1.49E+019,1.49E+020,1.4E+019,-5.82E+019,NA,-5.2,152.1821,35.5,48,242,26,74,79,64,97,242,26,74,good
official20010623203314130_33,2001-06-23T20:33:14.130,-16.265,-73.641,33,8.4,earthquake,2.39E+021,-5.97E+020,-1.8E+021,1.66E+021,-3.89E+021,1.41E+021,NA,-17.06,-73.015,23.5,134,155,74,95,315,16,70,315,16,70,"good, 2001 South Peru Tsunami"
usp000cd1n,2003-11-17T06:43:06.800,51.146,178.65,33,7.8,earthquake,2.66E+020,-3.22E+020,5.6E+019,3.75E+020,1.66E+020,-3.91E+019,NA,51.15,178.0123,19.5,44,68,72,78,282,20,122,282,20,122,small tsunami
official20070912111026830_34,2007-09-12T11:10:26.830,-4.438,101.367,34,8.4,earthquake,1.92E+021,-9.27E+020,-9.97E+020,3.81E+021,-3.12E+021,1.03E+021,usMww,-4.04,101.06,30.5,104,323,11,103,130,79,87,323,11,103,1m tsunami
usp000fn2b,2007-09-12T23:49:03.720,-2.625,100.841,35,7.9,earthquake,4.15E+020,-2.32E+020,-1.84E+020,4.75E+020,-3.04E+020,2.3E+020,NA,-2.52,100.1393,40.5,66,320,19,104,124,71,84,320,19,104,"same day, no tsunami, <1m"
usp000h2gd,2009-10-07T22:18:51.240,-12.517,166.382,35,7.8,earthquake,6.22E+020,-4.8E+019,-5.75E+020,1.1E+019,-2.24E+020,1.85E+020,gcmtMwc,-11.86,166.01,41.7,39.6,337,36,82,167,55,96,337,36,82,<1m tsunami
usp000jrsw,2012-09-05T14:42:07.800,10.085,-85.315,35,7.6,earthquake,1.72E+020,-1.25E+020,-4.7E+019,2.5E+020,-6.4E+019,8.6E+019,gcmtMwc,9.87,-85.54,30.8,30.6,317,19,118,108,73,81,317,19,118,tsunami warning cancelled
us10007mn3,2016-12-25T14:22:27.010,-43.4064,-73.9413,38,7.6,earthquake,1.8E+020,-8.9E+018,-1.71E+020,-2.13E+019,-2.88E+020,1.8E+018,usMww,-43.62,-73.76,21.5,30,183,74,92,356,16,83,356,16,83,tsunami warning cancelled
usp000fjta,2007-08-15T23:40:57.890,-13.386,-76.603,39,8,earthquake,9.28E+020,-6.39E+019,-8.64E+020,2.5E+020,-2E+021,3.77E+020,NA,-13.79,-76.6,25.5,124,324,14,63,171,77,96,324,14,63,25 cm tsunami
usp000fshy,2007-11-14T15:40:50.530,-22.247,-69.89,40,7.7,earthquake,3.14E+020,1.36E+019,-3.27E+020,1.53E+020,-4.7E+020,2.74E+019,NA,-22.45,-70.1061,35.5,52,6,17,111,164,73,83,6,17,111,tsunami warning cancelled
us20007z80,2016-12-08T17:38:46.280,-10.6812,161.3273,40,7.8,earthquake,5.55E+020,-3.96E+020,-1.59E+020,-2.21E+019,-1.59E+020,3.61E+020,usMww,-10.37,161.03,45.5,22,141,51,111,290,44,67,290,44,67,<1m tsunami
usp0005ddn,1992-09-02T00:16:01.690,11.742,-87.34,44.8,7.7,earthquake,1.81E+020,-1.29E+020,-5.11E+019,3.18E+020,-2.75E+020,7.09E+019,NA,11.26,-87.7258,11.5,104,293,11,73,129,78,93,293,11,73,10m tsunami
usp000h2g9,2009-10-07T22:03:14.470,-13.006,166.51,45,7.7,earthquake,2.75E+020,-7.34E+017,-2.74E+020,1.69E+018,-1.09E+020,6.63E+019,NA,-12.91,166.2021,45.5,36,342,34,82,171,55,95,342,34,82,<1m tsunami
usp000714t,1995-07-30T05:11:23.630,-23.34,-70.294,45.6,8,earthquake,9.07E+020,7.85E+019,-9.86E+020,4.2E+020,-1.5E+021,-6.75E+017,NA,-23.86,-70.6353,30.5,72,14,17,116,166,74,82,14,17,116,"""moderate"" tsunami"
