output_time,total_wall_time,total_cpu_time, wall time ( 1), CPU time ( 1), cells updated ( 1),                                                                                                                                                                                                                                                                                                                                                                                                                                  
    0.000000E+00,     0.000000E+00,     0.000000E+00,     0.000000E+00,     0.000000E+00,     0.000000E+00
    0.600000E+02,     0.398435E+01,     0.261366E+03,     0.385207E+01,     0.383843E+01,     0.645120E+07
    0.120000E+03,     0.756612E+01,     0.264930E+03,     0.736943E+01,     0.734364E+01,     0.124992E+08
    0.180000E+03,     0.112279E+02,     0.268567E+03,     0.109645E+02,     0.109264E+02,     0.185472E+08
    0.240000E+03,     0.149853E+02,     0.272306E+03,     0.146532E+02,     0.146023E+02,     0.245952E+08
    0.300000E+03,     0.187995E+02,     0.276103E+03,     0.184079E+02,     0.183442E+02,     0.306432E+08
    0.360000E+03,     0.226781E+02,     0.279963E+03,     0.222264E+02,     0.221496E+02,     0.366912E+08
    0.420000E+03,     0.266014E+02,     0.283867E+03,     0.260894E+02,     0.259993E+02,     0.427392E+08
    0.480000E+03,     0.305751E+02,     0.287822E+03,     0.299877E+02,     0.298840E+02,     0.487872E+08
    0.540000E+03,     0.345574E+02,     0.291786E+03,     0.339085E+02,     0.337912E+02,     0.548352E+08
    0.600000E+03,     0.385705E+02,     0.295780E+03,     0.378608E+02,     0.377299E+02,     0.608832E+08
    0.660000E+03,     0.425909E+02,     0.299782E+03,     0.418208E+02,     0.416764E+02,     0.669312E+08
    0.720000E+03,     0.466266E+02,     0.303798E+03,     0.457971E+02,     0.456388E+02,     0.729792E+08
    0.780000E+03,     0.506818E+02,     0.307835E+03,     0.497919E+02,     0.496200E+02,     0.790272E+08
    0.840000E+03,     0.547405E+02,     0.311875E+03,     0.537872E+02,     0.536018E+02,     0.850752E+08
    0.900000E+03,     0.588265E+02,     0.315941E+03,     0.578072E+02,     0.576078E+02,     0.911232E+08
    0.960000E+03,     0.629171E+02,     0.320011E+03,     0.618309E+02,     0.616170E+02,     0.971712E+08
    0.102000E+04,     0.670168E+02,     0.324093E+03,     0.658703E+02,     0.656426E+02,     0.103219E+09
    0.108000E+04,     0.711245E+02,     0.328181E+03,     0.699168E+02,     0.696750E+02,     0.109267E+09
    0.114000E+04,     0.752482E+02,     0.332285E+03,     0.739820E+02,     0.737252E+02,     0.115315E+09
    0.120000E+04,     0.793841E+02,     0.336402E+03,     0.780527E+02,     0.777818E+02,     0.121363E+09
    0.126000E+04,     0.835309E+02,     0.340530E+03,     0.821404E+02,     0.818554E+02,     0.127411E+09
    0.132000E+04,     0.876805E+02,     0.344660E+03,     0.862282E+02,     0.859291E+02,     0.133459E+09
    0.138000E+04,     0.918462E+02,     0.348806E+03,     0.903293E+02,     0.900162E+02,     0.139507E+09
    0.144000E+04,     0.960207E+02,     0.352962E+03,     0.944367E+02,     0.941096E+02,     0.145555E+09
    0.150000E+04,     0.100195E+03,     0.357116E+03,     0.985501E+02,     0.982089E+02,     0.151603E+09
    0.156000E+04,     0.104391E+03,     0.361294E+03,     0.102685E+03,     0.102330E+03,     0.157651E+09
    0.162000E+04,     0.108591E+03,     0.365474E+03,     0.106824E+03,     0.106455E+03,     0.163699E+09
    0.168000E+04,     0.112805E+03,     0.369669E+03,     0.110980E+03,     0.110596E+03,     0.169747E+09
    0.174000E+04,     0.117029E+03,     0.373873E+03,     0.115145E+03,     0.114747E+03,     0.175795E+09
    0.180000E+04,     0.121275E+03,     0.378098E+03,     0.119329E+03,     0.118916E+03,     0.181843E+09
    0.186000E+04,     0.125533E+03,     0.382336E+03,     0.123526E+03,     0.123099E+03,     0.187891E+09
    0.192000E+04,     0.129796E+03,     0.386578E+03,     0.127726E+03,     0.127284E+03,     0.193939E+09
    0.198000E+04,     0.134072E+03,     0.390834E+03,     0.131940E+03,     0.131484E+03,     0.199987E+09
    0.204000E+04,     0.138360E+03,     0.395103E+03,     0.136163E+03,     0.135692E+03,     0.206035E+09
    0.210000E+04,     0.142656E+03,     0.399379E+03,     0.140395E+03,     0.139909E+03,     0.212083E+09
    0.216000E+04,     0.146953E+03,     0.403657E+03,     0.144634E+03,     0.144134E+03,     0.218131E+09
    0.222000E+04,     0.151249E+03,     0.407933E+03,     0.148871E+03,     0.148356E+03,     0.224179E+09
    0.228000E+04,     0.155564E+03,     0.412229E+03,     0.153118E+03,     0.152589E+03,     0.230227E+09
    0.234000E+04,     0.159890E+03,     0.416535E+03,     0.157382E+03,     0.156839E+03,     0.236275E+09
